"var","categoria","Arriba Chubut","Juntos por el Cambio Chubut","Por la Libertad Independiente Chubutense","Frente de Izquierda","Generación para un Encuentro Nacional","Otro","En blanco","No sabe"
"P14_imputada","A Juan Pablo Luque gobernador y Ricardo Sastre vicegobernador por Arriba Chubut",0.726,0.185,0.116,0.196,0,0.233,0.175,0.494
"P14_imputada","A Ignacio Torres gobernador y Gustavo Menna vicegobernador por Juntos por el Cambio",0.166,0.734,0.197,0.013,0,0.122,0.255,0.217
"P14_imputada","A César Treffinger gobernador y Laura Mirantes vicegobernadora por La Libertad Independiente Chubutense",0.063,0.054,0.582,0.041,0.055,0.364,0.046,0.164
"P14_imputada","A Emilse Saavedra gobernadora y Julieta Rusconi vicegobernadora por el Frente de Izquierda y de los Trabajadores-Unidad",0.042,0.007,0.049,0.579,0.445,0.044,0.093,0.037
"P14_imputada","A Oscar Petersen gobernador y Nancy Lobos vicegobernadora por el GEN",0,0.011,0.047,0.059,0.5,0.022,0.061,0.057
"P14_imputada","En blanco",0.003,0.009,0.009,0.112,0,0.215,0.37,0.031
"P17_imputada","A Juan Pablo Luque gobernador por la Alianza Arriba Chubut con el apoyo de Cristina Fernández de Kirchner, Sergio Massa, Alberto Fernández, Mariano Arcioni y el Peronismo",0.773,0.207,0.121,0.28,0.421,0.257,0.155,0.412
"P17_imputada","A Ignacio Torres gobernador por Juntos por el Cambio con el apoyo de Patricia Bullrich, Horacio Rodríguez Larreta, Mauricio Macri, el PRO y la UCR",0.095,0.685,0.101,0.075,0.035,0.136,0.069,0.23
"P17_imputada","A César Treffinger gobernador por La Libertad Independiente Chubutense con el apoyo de Javier Milei",0.112,0.094,0.651,0.099,0.019,0.392,0.358,0.213
"P17_imputada","A Emilse Saavedra gobernadora por el Frente de Izquierda y de los Trabajadores-Unidad con el apoyo de Gabriel Solano y Vilma Ripoll",0.01,0.003,0.042,0.342,0.191,0.059,0.082,0.069
"P17_imputada","A Oscar Petersen gobernador por el GEN",0.008,0.001,0.071,0.067,0.334,0.012,0.015,0
"P17_imputada","En blanco",0.002,0.01,0.014,0.137,0,0.144,0.321,0.076
