"var","categoria","Arriba Chubut","Juntos por el Cambio Chubut","Por la Libertad Independiente Chubutense","Frente de Izquierda","Generación para un Encuentro Nacional","Otro","En blanco","No sabe"
"P05","Mucho",0.417,0.377,0.439,0.478,0.337,0.285,0.261,0.143
"P05","Bastante",0.348,0.344,0.254,0.222,0,0.275,0.125,0.215
"P05","Poco",0.141,0.193,0.113,0.159,0,0.161,0.117,0.316
"P05","Nada",0.064,0.068,0.129,0.117,0.09,0.232,0.497,0.245
"P05","No sabe",0.03,0.018,0.065,0.024,0.573,0.047,0,0.081
"P06","Siempre",0.23,0.266,0.307,0.207,0.373,0.197,0.152,0.104
"P06","Casi siempre",0.354,0.263,0.175,0.206,0.043,0.279,0.203,0.088
"P06","Casi nunca",0.273,0.292,0.302,0.353,0.165,0.336,0.279,0.333
"P06","Nunca, pero esta es una excepción",0.143,0.179,0.216,0.234,0.419,0.188,0.366,0.475
"P08","Unión por la Patria",0.529,0.111,0.112,0.129,0,0.042,0.063,0.131
"P08","Juntos por el Cambio",0.189,0.697,0.096,0.117,0.047,0.011,0.035,0.046
"P08","De los Liberales libertarios",0.104,0.106,0.621,0.053,0.118,0.145,0.079,0.077
"P08","De la Izquierda",0.012,0.006,0.051,0.601,0,0.015,0.1,0.016
"P08","Hacemos por nuestro país",0.012,0.009,0.02,0.043,0.16,0.09,0.024,0.003
"P08","Otro",0.071,0.027,0.029,0.026,0.675,0.548,0.074,0.026
"P08","En blanco",0.016,0.004,0.011,0.003,0,0.076,0.58,0.069
"P08","No sabe",0.067,0.04,0.06,0.028,0,0.073,0.045,0.632
"P14","A Juan Pablo Luque gobernador y Ricardo Sastre vicegobernador por Arriba Chubut",0.735,0.176,0.121,0.156,0,0.228,0.109,0.259
"P14","A Ignacio Torres gobernador y Gustavo Menna vicegobernador por Juntos por el Cambio",0.164,0.719,0.202,0.014,0,0.064,0.151,0.108
"P14","A César Treffinger gobernador y Laura Mirantes vicegobernadora por La Libertad Independiente Chubutense",0.059,0.047,0.555,0.031,0.053,0.331,0.023,0.129
"P14","A Emilse Saavedra gobernadora y Julieta Rusconi vicegobernadora por el Frente de Izquierda y de los Trabajadores-Unidad",0.034,0.006,0.046,0.572,0.409,0.037,0.067,0.008
"P14","A Oscar Petersen gobernador y Nancy Lobos vicegobernadora por el GEN",0,0.011,0.045,0.058,0.538,0.027,0,0.048
"P14","En blanco",0.004,0.008,0.009,0.113,0,0.137,0.274,0.018
"P14","No sabe",0.004,0.033,0.022,0.056,0,0.176,0.376,0.43
"P17","A Juan Pablo Luque gobernador por la Alianza Arriba Chubut con el apoyo de Cristina Fernández de Kirchner, Sergio Massa, Alberto Fernández, Mariano Arcioni y el Peronismo",0.736,0.201,0.113,0.241,0.385,0.259,0.123,0.27
"P17","A Ignacio Torres gobernador por Juntos por el Cambio con el apoyo de Patricia Bullrich, Horacio Rodríguez Larreta, Mauricio Macri, el PRO y la UCR",0.08,0.67,0.105,0.053,0.03,0.112,0.083,0.116
"P17","A César Treffinger gobernador por La Libertad Independiente Chubutense con el apoyo de Javier Milei",0.11,0.089,0.645,0.097,0.019,0.359,0.216,0.153
"P17","A Emilse Saavedra gobernadora por el Frente de Izquierda y de los Trabajadores-Unidad con el apoyo de Gabriel Solano y Vilma Ripoll",0.008,0.003,0.041,0.336,0.15,0.05,0.081,0.014
"P17","A Oscar Petersen gobernador por el GEN",0.008,0.001,0.063,0.064,0.416,0.012,0.014,0
"P17","En blanco",0.002,0.009,0.014,0.138,0,0.125,0.275,0.024
"P17","No sabe",0.056,0.027,0.019,0.071,0,0.083,0.208,0.423
"P20","La votaría",0.745,0.132,0.161,0.295,0,0.301,0.05,0.227
"P20","Puede que la vote",0.162,0.108,0.092,0.102,0.223,0.098,0.128,0.199
"P20","Nunca la votaría",0.069,0.702,0.615,0.442,0.658,0.436,0.583,0.272
"P20","No sabe",0.024,0.058,0.132,0.161,0.119,0.165,0.239,0.302
"P21","La votaría",0.163,0.638,0.134,0.179,0,0.12,0.075,0.093
"P21","Puede que la vote",0.185,0.109,0.163,0.074,0.156,0.066,0.089,0.087
"P21","Nunca la votaría",0.58,0.176,0.589,0.572,0.674,0.73,0.593,0.458
"P21","No sabe",0.072,0.077,0.114,0.175,0.17,0.084,0.243,0.362
"P22","La votaría",0.061,0.109,0.592,0.067,0,0.358,0.071,0.133
"P22","Puede que la vote",0.143,0.143,0.102,0.116,0.124,0.129,0.05,0.052
"P22","Nunca la votaría",0.69,0.656,0.222,0.677,0.579,0.403,0.614,0.478
"P22","No sabe",0.106,0.092,0.084,0.14,0.297,0.11,0.265,0.337
"P23","La votaría",0.049,0.036,0.089,0.349,0.22,0.15,0.027,0.093
"P23","Puede que la vote",0.173,0.091,0.108,0.184,0,0.082,0.014,0.025
"P23","Nunca la votaría",0.607,0.765,0.589,0.338,0.78,0.574,0.668,0.446
"P23","No sabe",0.171,0.108,0.214,0.129,0,0.194,0.291,0.436
"P24","La votaría",0.055,0.022,0.026,0.102,0.383,0.123,0.07,0.023
"P24","Puede que la vote",0.128,0.087,0.064,0.111,0.028,0.1,0.046,0.105
"P24","Nunca la votaría",0.648,0.775,0.668,0.641,0.589,0.562,0.628,0.473
"P24","No sabe",0.169,0.116,0.242,0.146,0,0.215,0.256,0.399
"P25","Si",0.443,0.44,0.271,0.381,0.242,0.408,0.217,0.315
"P25","No",0.557,0.56,0.729,0.619,0.758,0.592,0.783,0.685
