"var","categoria","La votaría","Puede que la vote","Nunca la votaría","No sabe"
"P05","Mucho",0.422,0.37,0.4,0.232
"P05","Bastante",0.297,0.33,0.297,0.352
"P05","Poco",0.126,0.192,0.151,0.203
"P05","Nada",0.128,0.048,0.125,0.169
"P05","No sabe",0.027,0.06,0.027,0.044
"P06","Siempre",0.352,0.226,0.22,0.215
"P06","Casi siempre",0.154,0.313,0.288,0.205
"P06","Casi nunca",0.352,0.253,0.316,0.221
"P06","Nunca, pero esta es una excepción",0.142,0.208,0.176,0.359
"P08","Unión por la Patria",0.116,0.156,0.287,0.164
"P08","Juntos por el Cambio",0.132,0.376,0.347,0.23
"P08","De los Liberales libertarios",0.507,0.271,0.093,0.112
"P08","De la Izquierda",0.008,0.038,0.051,0.115
"P08","Hacemos por nuestro país",0.039,0,0.02,0.01
"P08","Otro",0.075,0.092,0.072,0.057
"P08","En blanco",0.094,0.023,0.049,0.088
"P08","No sabe",0.029,0.044,0.081,0.224
"P11","Arriba Chubut",0.092,0.31,0.316,0.21
"P11","Juntos por el Cambio Chubut",0.205,0.385,0.373,0.225
"P11","Por la Libertad Independiente Chubutense",0.472,0.117,0.054,0.088
"P11","Frente de Izquierda",0.02,0.051,0.063,0.056
"P11","Generación para un Encuentro Nacional",0,0.011,0.011,0.024
"P11","Otro",0.119,0.061,0.04,0.048
"P11","En blanco",0.028,0.029,0.074,0.137
"P11","No sabe",0.064,0.036,0.069,0.212
"P14","A Juan Pablo Luque gobernador y Ricardo Sastre vicegobernador por Arriba Chubut",0.098,0.208,0.391,0.335
"P14","A Ignacio Torres gobernador y Gustavo Menna vicegobernador por Juntos por el Cambio",0.26,0.451,0.375,0.212
"P14","A César Treffinger gobernador y Laura Mirantes vicegobernadora por La Libertad Independiente Chubutense",0.556,0.207,0.038,0.025
"P14","A Emilse Saavedra gobernadora y Julieta Rusconi vicegobernadora por el Frente de Izquierda y de los Trabajadores-Unidad",0.065,0.039,0.063,0.07
"P14","A Oscar Petersen gobernador y Nancy Lobos vicegobernadora por el GEN",0.011,0.035,0.017,0.024
"P14","En blanco",0,0.019,0.052,0.089
"P14","No sabe",0.01,0.041,0.064,0.245
"P17","A Juan Pablo Luque gobernador por la Alianza Arriba Chubut con el apoyo de Cristina Fernández de Kirchner, Sergio Massa, Alberto Fernández, Mariano Arcioni y el Peronismo",0.201,0.234,0.418,0.221
"P17","A Ignacio Torres gobernador por Juntos por el Cambio con el apoyo de Patricia Bullrich, Horacio Rodríguez Larreta, Mauricio Macri, el PRO y la UCR",0.127,0.35,0.35,0.206
"P17","A César Treffinger gobernador por La Libertad Independiente Chubutense con el apoyo de Javier Milei",0.581,0.303,0.075,0.127
"P17","A Emilse Saavedra gobernadora por el Frente de Izquierda y de los Trabajadores-Unidad con el apoyo de Gabriel Solano y Vilma Ripoll",0.024,0.018,0.041,0.074
"P17","A Oscar Petersen gobernador por el GEN",0.02,0.016,0.019,0.012
"P17","En blanco",0.017,0.026,0.052,0.086
"P17","No sabe",0.03,0.053,0.045,0.274
"P20","La votaría",0.261,0.171,0.382,0.177
"P20","Puede que la vote",0.077,0.291,0.09,0.135
"P20","Nunca la votaría",0.604,0.489,0.487,0.253
"P20","No sabe",0.058,0.049,0.041,0.435
"P21","La votaría",0.324,0.363,0.32,0.106
"P21","Puede que la vote",0.108,0.274,0.102,0.138
"P21","Nunca la votaría",0.506,0.309,0.543,0.148
"P21","No sabe",0.062,0.054,0.035,0.608
"P23","La votaría",0.259,0.071,0.035,0.032
"P23","Puede que la vote",0.067,0.365,0.083,0.03
"P23","Nunca la votaría",0.486,0.449,0.824,0.137
"P23","No sabe",0.188,0.115,0.058,0.801
"P24","La votaría",0.136,0.04,0.029,0.035
"P24","Puede que la vote",0.113,0.314,0.056,0.04
"P24","Nunca la votaría",0.553,0.49,0.847,0.178
"P24","No sabe",0.198,0.156,0.068,0.747
"P25","Si",0.385,0.469,0.385,0.31
"P25","No",0.615,0.531,0.615,0.69
