"var","categoria","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza","Los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P06","Unión por la Patria y el peronismo",0.876,0.062,0.04,0.388,0.313,0.247
"P06","Juntos por el Cambio ",0.048,0.838,0.172,0.055,0.343,0.458
"P06","De los Liberales libertarios",0.012,0.039,0.724,0.046,0.046,0.059
"P06","De la Izquierda",0.008,0.008,0.012,0.47,0.055,0.01
"P06","No sabe",0.056,0.053,0.052,0.041,0.243,0.226
"P07","A Sergio Massa",0.315,0.366,0.13,0.177,0.085,0.135
"P07","A Daniel Scioli",0.072,0.252,0.109,0.125,0.145,0.077
"P07","A algún candidato del peronismo",0.087,0.312,0.321,0.161,0.193,0.124
"P07","A algún candidato del kirchnerismo",0.526,0.07,0.44,0.537,0.577,0.664
"P08","A Horacio Rodriguez Larreta",0.194,0.246,0.055,0,0.054,0.036
"P08","A Patricia Bullrich",0.228,0.666,0.873,0.803,0.893,0.892
"P08","A Facundo Manes",0.463,0.045,0.069,0.158,0.043,0.054
"P08","A Gerardo Morales",0.115,0.043,0.003,0.039,0.01,0.018
"P09","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.32,0.016,0.003,0.073,0.019,0.04
"P09","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.583,0.008,0.011,0.322,0.232,0.191
"P09","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.049,0.02,0.018,0.086,0.088,0.03
"P09","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.016,0.583,0.165,0.025,0.33,0.437
"P09","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.01,0.32,0.014,0.029,0.02,0.05
"P09","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.012,0.028,0.75,0.035,0.038,0.046
"P09","Los candidatos a presidente y a gobernador del Frente de Izquierda",0,0.001,0.012,0.396,0.018,0.003
"P09","En blanco",0,0.005,0.003,0.002,0.186,0.023
"P09","No sabe",0.01,0.019,0.024,0.032,0.069,0.18
"P12","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.323,0.042,0.012,0.127,0.023,0.038
"P12","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.562,0.029,0.023,0.324,0.248,0.197
"P12","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.032,0.525,0.209,0.041,0.331,0.421
"P12","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.029,0.334,0.016,0.036,0.027,0.04
"P12","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.028,0.04,0.664,0.026,0.052,0.047
"P12","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.008,0.014,0.049,0.339,0.015,0.018
"P12","En blanco",0.001,0,0.011,0.087,0.205,0.016
"P12","No sabe",0.017,0.016,0.016,0.02,0.099,0.223
"P15","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.735,0.041,0.013,0.148,0.027,0.06
"P15","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.115,0.037,0.039,0.087,0.106,0.065
"P15","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.027,0.549,0.175,0.027,0.321,0.411
"P15","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.026,0.312,0.023,0.035,0.039,0.065
"P15","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.027,0.039,0.722,0.043,0.046,0.051
"P15","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.014,0.003,0.011,0.587,0.062,0.02
"P15","En blanco",0.011,0.009,0.002,0.015,0.266,0.022
"P15","No sabe",0.045,0.01,0.015,0.058,0.133,0.306
"P18","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.757,0.031,0.035,0.286,0.254,0.203
"P18","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.077,0.045,0.048,0.086,0.113,0.059
"P18","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.021,0.522,0.177,0.076,0.307,0.394
"P18","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.034,0.331,0.023,0.02,0.026,0.049
"P18","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.026,0.048,0.692,0.061,0.027,0.038
"P18","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.013,0.005,0.008,0.461,0.011,0.021
"P18","En blanco",0.019,0.002,0.005,0,0.175,0.021
"P18","No sabe",0.053,0.016,0.012,0.01,0.087,0.215
"P21","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.815,0.053,0.027,0.19,0.072,0.084
"P21","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.026,0.556,0.186,0.035,0.313,0.416
"P21","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.039,0.313,0.035,0.017,0.048,0.045
"P21","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.031,0.047,0.681,0.061,0.034,0.047
"P21","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.02,0.013,0.033,0.609,0.048,0.012
"P21","En blanco",0.021,0.004,0.004,0.076,0.337,0.034
"P21","No sabe",0.048,0.014,0.034,0.012,0.148,0.362
"P24","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.63,0.109,0.035,0.305,0.179,0.172
"P24","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.032,0.431,0.324,0.025,0.239,0.231
"P24","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.22,0.244,0.038,0.145,0.107,0.085
"P24","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.024,0.188,0.579,0.051,0.104,0.212
"P24","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.014,0.006,0.011,0.416,0.033,0.002
"P24","En blanco",0.017,0.007,0.001,0.051,0.245,0.034
"P24","No sabe",0.063,0.015,0.012,0.007,0.093,0.264
"P25","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.667,0.128,0.03,0.226,0.123,0.128
"P25","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.017,0.431,0.294,0.025,0.258,0.257
"P25","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.224,0.244,0.022,0.079,0.064,0.065
"P25","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.014,0.172,0.625,0.095,0.11,0.212
"P25","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.011,0.007,0.011,0.493,0.037,0.003
"P25","En blanco",0.017,0.008,0.001,0.02,0.308,0.025
"P25","No sabe",0.05,0.01,0.017,0.062,0.1,0.31
"P26","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.933,0.03,0.008,0.096,0.046,0.05
"P26","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.013,0.795,0.176,0.039,0.328,0.45
"P26","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.002,0.037,0.796,0.045,0.023,0.025
"P26","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.014,0.014,0.004,0.723,0.028,0.006
"P26","En blanco",0.012,0.031,0.003,0.03,0.512,0.013
"P26","No sabe",0.026,0.093,0.013,0.067,0.063,0.456
"P28","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.896,0.023,0.027,0.295,0.236,0.207
"P28","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.011,0.825,0.18,0.038,0.345,0.423
"P28","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.008,0.043,0.767,0.041,0.031,0.012
"P28","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.013,0.006,0.007,0.588,0.011,0.007
"P28","En blanco",0.026,0.036,0.012,0,0.333,0.017
"P28","No sabe",0.046,0.067,0.007,0.038,0.044,0.334
"P29","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.902,0.011,0.027,0.359,0.249,0.23
"P29","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.016,0.855,0.04,0.042,0.111,0.122
"P29","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.011,0.048,0.904,0.028,0.046,0.033
