"var","categoria","Sergio Massa por Unión por la Patria","Diego Santilli por Juntos por el Cambio","Guillermo Britos por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P06","Unión por la Patria y el peronismo",0.89,0.04,0.018,0.381,0.452,0.424
"P06","Juntos por el Cambio ",0.045,0.851,0.156,0.067,0.242,0.266
"P06","De los Liberales libertarios",0.018,0.056,0.737,0.009,0.058,0.096
"P06","De la Izquierda",0.005,0.007,0.013,0.469,0.009,0.011
"P06","No sabe",0.042,0.046,0.076,0.074,0.239,0.203
"P07","A Sergio Massa",0.342,0.351,0.393,0.119,0.046,0.16
"P07","A Daniel Scioli",0.071,0.132,0.167,0.109,0.036,0.07
"P07","A algún candidato del peronismo",0.069,0.485,0.44,0.185,0.188,0.206
"P07","A algún candidato del kirchnerismo",0.518,0.032,0,0.587,0.73,0.564
"P08","A Horacio Rodriguez Larreta",0.332,0.176,0,0.181,0.017,0.064
"P08","A Patricia Bullrich",0.073,0.752,0.942,0.625,0.983,0.652
"P08","A Facundo Manes",0.595,0.037,0.058,0.194,0,0.117
"P08","A Gerardo Morales",0,0.035,0,0,0,0.167
"P09","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.321,0.011,0.016,0.06,0.013,0.096
"P09","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.568,0.007,0.002,0.291,0.404,0.292
"P09","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.05,0.022,0.013,0.1,0.042,0.022
"P09","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.014,0.643,0.158,0.007,0.274,0.216
"P09","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.017,0.24,0.008,0.035,0.011,0.063
"P09","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.02,0.049,0.779,0.002,0.064,0.086
"P09","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.001,0.001,0.01,0.45,0.014,0
"P09","En blanco",0.001,0.008,0,0.037,0.117,0.024
"P09","No sabe",0.008,0.019,0.014,0.018,0.061,0.201
"P12","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.316,0.031,0.013,0.082,0.017,0.049
"P12","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.551,0.026,0.013,0.326,0.393,0.29
"P12","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.036,0.611,0.207,0.021,0.257,0.229
"P12","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.037,0.225,0.009,0.042,0.046,0.068
"P12","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.032,0.063,0.677,0.002,0.068,0.088
"P12","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.007,0.022,0.049,0.408,0.008,0.024
"P12","En blanco",0.002,0.004,0.012,0.101,0.124,0.021
"P12","No sabe",0.019,0.018,0.02,0.018,0.087,0.231
"P15","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.705,0.033,0.025,0.141,0.14,0.181
"P15","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.122,0.031,0.042,0.09,0.126,0.075
"P15","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.033,0.614,0.17,0.007,0.251,0.209
"P15","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.023,0.232,0.017,0.012,0.03,0.089
"P15","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.031,0.061,0.726,0.037,0.088,0.094
"P15","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.018,0.004,0.011,0.628,0.008,0.026
"P15","En blanco",0.018,0.007,0,0.03,0.231,0.037
"P15","No sabe",0.05,0.018,0.009,0.055,0.126,0.289
