"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P25","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.518,0.45,0.171,0.052,0.136,0.05
"P25","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.052,0.148,0.199,0.227,0.149,0.148
"P25","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.292,0.272,0.23,0.06,0.156,0.269
"P25","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.001,0.002,0.032,0.034,0.074,0.016
"P25","En blanco",0.014,0.008,0.027,0.021,0.04,0.035
"P25","No sabe",0.014,0.008,0.074,0.079,0.027,0.216
"P26","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.058,0.074,0.353,0.667,0.461,0.27
"P26","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.785,0.662,0.245,0.063,0.101,0.13
"P26","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.107,0.183,0.234,0.069,0.202,0.269
"P26","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.019,0.014,0.025,0.052,0.102,0.011
"P26","En blanco",0.005,0.027,0.06,0.033,0.061,0.039
"P26","No sabe",0.026,0.04,0.083,0.116,0.073,0.281
"P27","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.059,0.083,0.339,0.694,0.46,0.268
"P27","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.495,0.464,0.22,0.061,0.11,0.172
"P27","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.189,0.298,0.248,0.072,0.206,0.28
"P27","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.018,0.004,0.026,0.061,0.098,0.06
"P27","En blanco",0.088,0.047,0.065,0.022,0.065,0.029
"P27","No sabe",0.151,0.104,0.102,0.09,0.061,0.191
"P28","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.061,0.1,0.372,0.73,0.568,0.244
"P28","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.791,0.673,0.25,0.069,0.119,0.123
"P28","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.099,0.178,0.22,0.072,0.199,0.29
"P28","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.016,0.004,0.027,0.051,0.074,0.011
"P28","En blanco",0.005,0.024,0.052,0.024,0.014,0.074
"P28","No sabe",0.028,0.021,0.079,0.054,0.026,0.258
"P29","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.07,0.083,0.355,0.752,0.569,0.277
"P29","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.49,0.48,0.209,0.084,0.113,0.161
"P29","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.219,0.29,0.266,0.077,0.202,0.283
"P29","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.028,0.003,0.021,0.027,0.071,0.011
"P29","En blanco",0.081,0.051,0.055,0.02,0.022,0.048
"P29","No sabe",0.112,0.093,0.094,0.04,0.023,0.22
"P30","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.057,0.112,0.344,0.739,0.532,0.298
"P30","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.785,0.645,0.241,0.072,0.106,0.102
"P30","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.097,0.204,0.232,0.068,0.198,0.262
"P30","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.029,0.003,0.026,0.025,0.08,0.015
"P30","En blanco",0.004,0.018,0.076,0.027,0.028,0.04
"P30","No sabe",0.028,0.018,0.081,0.069,0.056,0.283
"P31","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.075,0.1,0.335,0.698,0.524,0.283
"P31","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.472,0.457,0.217,0.071,0.115,0.154
"P31","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.212,0.299,0.253,0.095,0.21,0.28
"P31","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.021,0.016,0.035,0.045,0.075,0.011
"P31","En blanco",0.116,0.051,0.063,0.023,0.04,0.043
"P31","No sabe",0.104,0.077,0.097,0.068,0.036,0.229
"P32","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.066,0.1,0.273,0.473,0.298,0.178
"P32","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.772,0.643,0.248,0.063,0.112,0.091
"P32","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.088,0.188,0.225,0.086,0.195,0.289
"P32","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.014,0.003,0.052,0.086,0.125,0.047
"P32","En blanco",0.028,0.021,0.083,0.109,0.128,0.087
"P32","No sabe",0.032,0.045,0.119,0.183,0.142,0.308
"P33","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.069,0.112,0.26,0.468,0.276,0.166
"P33","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.498,0.451,0.222,0.066,0.125,0.178
"P33","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.247,0.302,0.256,0.078,0.196,0.278
"P33","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.005,0.004,0.048,0.081,0.121,0.045
"P33","En blanco",0.101,0.043,0.075,0.112,0.155,0.065
"P33","No sabe",0.08,0.088,0.139,0.195,0.127,0.268
"P34","Axel Kicillof por Unión por la Patria",0.066,0.101,0.387,0.788,0.585,0.329
"P34","Nestor Grindetti por Juntos por el Cambio",0.818,0.711,0.202,0.055,0.116,0.105
"P34","Guillermo Britos por la Libertad Avanza",0.081,0.142,0.204,0.068,0.178,0.2
"P34","Al candidato del Frente de Izquierda",0.015,0.002,0.031,0.026,0.07,0.011
"P34","En blanco",0.003,0.015,0.078,0.034,0.016,0.077
"P34","No sabe",0.017,0.029,0.098,0.029,0.035,0.278
"P35","Axel Kicillof por Unión por la Patria",0.071,0.099,0.37,0.79,0.586,0.373
"P35","Diego Santilli por Juntos por el Cambio",0.654,0.616,0.272,0.072,0.109,0.172
"P35","Guillermo Britos por la Libertad Avanza",0.128,0.193,0.214,0.069,0.187,0.207
"P35","Al candidato del Frente de Izquierda",0.013,0.002,0.029,0.025,0.066,0.016
"P35","En blanco",0.076,0.051,0.062,0.007,0.021,0.053
"P35","No sabe",0.058,0.039,0.053,0.037,0.031,0.179
"P36","Sergio Massa por Unión por la Patria",0.068,0.087,0.348,0.653,0.472,0.309
"P36","Nestor Grindetti por Juntos por el Cambio",0.812,0.693,0.218,0.073,0.121,0.101
"P36","Guillermo Britos por la Libertad Avanza",0.089,0.149,0.223,0.07,0.184,0.237
"P36","Al candidato del Frente de Izquierda",0.017,0.002,0.034,0.053,0.1,0.016
"P36","En blanco",0.005,0.042,0.08,0.045,0.057,0.061
"P36","No sabe",0.009,0.027,0.097,0.106,0.066,0.276
"P37","Sergio Massa por Unión por la Patria",0.057,0.091,0.353,0.655,0.431,0.311
"P37","Diego Santilli por Juntos por el Cambio",0.656,0.586,0.239,0.083,0.123,0.185
"P37","Guillermo Britos por la Libertad Avanza",0.142,0.208,0.226,0.077,0.177,0.199
"P37","Al candidato del Frente de Izquierda",0.024,0.005,0.034,0.055,0.109,0.017
"P37","En blanco",0.057,0.054,0.055,0.045,0.09,0.051
"P37","No sabe",0.064,0.056,0.093,0.085,0.07,0.237
"P38","Victoria Tolosa Paz por Unión por la Patria",0.057,0.119,0.284,0.492,0.282,0.167
"P38","Nestor Grindetti por Juntos por el Cambio",0.786,0.671,0.207,0.088,0.126,0.085
"P38","Guillermo Britos por la Libertad Avanza",0.086,0.165,0.242,0.076,0.176,0.223
"P38","Al candidato del Frente de Izquierda",0.059,0.003,0.044,0.097,0.13,0.019
"P38","En blanco",0.001,0.024,0.094,0.122,0.166,0.113
"P38","No sabe",0.011,0.018,0.129,0.125,0.12,0.393
"P39","Victoria Tolosa Paz por Unión por la Patria",0.063,0.116,0.278,0.495,0.283,0.18
"P39","Diego Santilli por Juntos por el Cambio",0.676,0.571,0.262,0.087,0.13,0.185
"P39","Guillermo Britos por la Libertad Avanza",0.132,0.209,0.216,0.073,0.184,0.214
"P39","Al candidato del Frente de Izquierda",0.001,0.001,0.05,0.095,0.126,0.02
"P39","En blanco",0.079,0.044,0.087,0.107,0.17,0.084
"P39","No sabe",0.049,0.059,0.107,0.143,0.107,0.317
"P40","Lo votaría",0.098,0.1,0.377,0.749,0.573,0.346
"P40","Puede que lo vote",0.061,0.085,0.075,0.048,0.045,0.078
"P40","Nunca lo votaría",0.821,0.805,0.524,0.175,0.354,0.457
"P40","No sabe",0.02,0.01,0.024,0.028,0.028,0.119
"P41","La votaría",0.097,0.058,0.213,0.288,0.169,0.129
"P41","Puede que la vote",0.027,0.144,0.195,0.331,0.199,0.105
"P41","Nunca la votaría",0.861,0.785,0.553,0.311,0.572,0.553
"P41","No sabe",0.015,0.013,0.039,0.07,0.06,0.213
"P42","Lo votaría",0.796,0.535,0.106,0.051,0.101,0.088
"P42","Puede que lo vote",0.039,0.31,0.271,0.048,0.077,0.084
"P42","Nunca lo votaría",0.13,0.126,0.536,0.851,0.8,0.5
"P42","No sabe",0.035,0.029,0.087,0.05,0.022,0.328
"P43","Lo votaría",0.575,0.423,0.194,0.073,0.123,0.154
"P43","Puede que lo vote",0.262,0.365,0.23,0.053,0.078,0.099
"P43","Nunca lo votaría",0.131,0.18,0.527,0.836,0.787,0.553
"P43","No sabe",0.032,0.032,0.049,0.038,0.012,0.194
"P44","Lo votaría",0.221,0.155,0.17,0.065,0.157,0.109
"P44","Puede que lo vote",0.18,0.314,0.168,0.062,0.05,0.092
"P44","Nunca lo votaría",0.511,0.462,0.584,0.829,0.772,0.499
"P44","No sabe",0.088,0.069,0.078,0.044,0.021,0.3
"P45","Muy buena",0.096,0.071,0.246,0.636,0.542,0.291
"P45","Buena",0.032,0.068,0.111,0.11,0.038,0.058
"P45","Ni buena ni mala",0.088,0.103,0.188,0.112,0.104,0.173
"P45","Mala",0.101,0.114,0.113,0.049,0.019,0.149
"P45","Muy mala",0.67,0.642,0.337,0.086,0.297,0.248
"P45","No sabe",0.013,0.002,0.005,0.007,0,0.081
"P46","Muy buena",0.088,0.042,0.093,0.162,0.128,0.088
"P46","Buena",0.023,0.125,0.141,0.271,0.109,0.097
"P46","Ni buena ni mala",0.076,0.101,0.279,0.3,0.183,0.196
"P46","Mala",0.184,0.176,0.161,0.19,0.107,0.098
"P46","Muy mala",0.618,0.554,0.3,0.074,0.461,0.275
"P46","No sabe",0.011,0.002,0.026,0.003,0.012,0.246
"P48","Muy buena",0.531,0.203,0.103,0.03,0.07,0.093
"P48","Buena",0.286,0.52,0.149,0.034,0.063,0.111
"P48","Ni buena ni mala",0.13,0.178,0.467,0.123,0.064,0.21
"P48","Mala",0.035,0.064,0.207,0.56,0.082,0.124
"P48","Muy mala",0.016,0.035,0.044,0.25,0.709,0.099
"P48","No sabe",0.002,0,0.03,0.003,0.012,0.363
"P49","Muy buena",0.156,0.068,0.084,0.046,0.097,0.023
"P49","Buena",0.137,0.228,0.093,0.053,0.074,0.093
"P49","Ni buena ni mala",0.338,0.411,0.472,0.127,0.086,0.214
"P49","Mala",0.098,0.084,0.145,0.413,0.048,0.024
"P49","Muy mala",0.15,0.085,0.089,0.274,0.642,0.049
"P49","No sabe",0.121,0.124,0.117,0.087,0.053,0.597
"P50","Siempre",0.421,0.293,0.269,0.366,0.376,0.323
"P50","Casi siempre",0.342,0.472,0.433,0.393,0.371,0.316
"P50","Casi nunca",0.181,0.198,0.242,0.133,0.163,0.196
"P50","Nunca, pero esta es una excepción",0.056,0.037,0.056,0.108,0.09,0.165
"P51","Si",0.541,0.541,0.558,0.539,0.568,0.497
"P51","No",0.459,0.459,0.442,0.461,0.432,0.503
