"var","categoria","Axel Kicillof por Unión por la Patria","Nestor Grindetti por Juntos por el Cambio","Guillermo Britos por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P06","Unión por la Patria y el peronismo",0.881,0.058,0.017,0.124,0.079,0.161
"P06","Juntos por el Cambio ",0.044,0.847,0.082,0.12,0.292,0.322
"P06","De los Liberales libertarios",0.013,0.063,0.826,0.004,0.199,0.175
"P06","De la Izquierda",0.009,0.007,0.012,0.693,0.031,0.022
"P06","No sabe",0.053,0.025,0.063,0.059,0.399,0.32
"P07","A Sergio Massa",0.299,0.233,0.524,0,0.163,0.292
"P07","A Daniel Scioli",0.068,0.207,0.087,0.028,0.316,0.168
"P07","A algún candidato del peronismo",0.075,0.454,0.389,0.587,0.485,0.316
"P07","A algún candidato del kirchnerismo",0.558,0.106,0,0.385,0.036,0.224
"P08","A Horacio Rodriguez Larreta",0.407,0.119,0.016,0.162,0.372,0.296
"P08","A Patricia Bullrich",0.078,0.814,0.87,0.441,0.582,0.511
"P08","A Facundo Manes",0.488,0.033,0.114,0,0.027,0.123
"P08","A Gerardo Morales",0.027,0.034,0,0.397,0.019,0.07
"P09","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.279,0.005,0.011,0.031,0.103,0.067
"P09","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.612,0.007,0.005,0.091,0.01,0.033
"P09","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.042,0.023,0.009,0.078,0.11,0.041
"P09","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.013,0.722,0.048,0.037,0.089,0.189
"P09","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.012,0.177,0.014,0.054,0.186,0.23
"P09","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.012,0.046,0.889,0.004,0.208,0.18
"P09","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.005,0.001,0.011,0.687,0.009,0
"P09","En blanco",0.007,0.006,0,0,0.185,0.027
"P09","No sabe",0.018,0.013,0.013,0.018,0.1,0.233
"P12","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.266,0.027,0.014,0.05,0.026,0.071
"P12","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.609,0.026,0.008,0.071,0.01,0.042
"P12","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.026,0.684,0.131,0.052,0.092,0.203
"P12","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.038,0.172,0.019,0.057,0.2,0.177
"P12","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.026,0.064,0.756,0.003,0.199,0.15
