"var","categoria","A Sergio Massa","A Daniel Scioli","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P09","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.559,0.233,0.178,0.119
"P09","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.282,0.247,0.452,0.815
"P09","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.026,0.366,0.067,0.018
"P09","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.049,0.044,0.105,0.008
"P09","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.019,0.027,0.061,0.004
"P09","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.037,0.061,0.045,0.002
"P09","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.005,0.007,0.001,0.006
"P09","En blanco",0.005,0,0.012,0.007
"P09","No sabe",0.018,0.015,0.079,0.021
"P12","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.554,0.326,0.233,0.105
"P12","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.28,0.307,0.411,0.805
"P12","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.055,0.082,0.12,0.016
"P12","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.043,0.066,0.065,0.022
"P12","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.036,0.052,0.067,0.018
"P12","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.009,0.014,0.018,0.008
"P12","En blanco",0.009,0.063,0.005,0.003
"P12","No sabe",0.014,0.09,0.081,0.023
"P15","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.714,0.328,0.433,0.573
"P15","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.068,0.482,0.11,0.107
"P15","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.062,0.039,0.093,0.013
"P15","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.032,0.04,0.075,0.029
"P15","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.05,0.026,0.067,0.023
"P15","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.015,0.028,0.028,0.043
"P15","En blanco",0.011,0.028,0.014,0.054
"P15","No sabe",0.048,0.029,0.18,0.158
"P18","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.631,0.376,0.557,0.864
"P18","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.092,0.444,0.046,0.04
"P18","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.027,0.045,0.092,0.009
"P18","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.075,0.023,0.069,0.015
"P18","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.073,0.038,0.063,0.012
