"var","categoria","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza","Los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P06","Unión por la Patria y el peronismo",0.89,0.048,0.025,0.248,0.197,0.312
"P06","Juntos por el Cambio ",0.048,0.85,0.085,0.05,0.3,0.287
"P06","De los Liberales libertarios",0.013,0.054,0.794,0.087,0.085,0.055
"P06","De la Izquierda",0.006,0.009,0.024,0.567,0.043,0.017
"P06","No sabe",0.043,0.039,0.072,0.048,0.375,0.329
"P07","A Sergio Massa",0.268,0.299,0.271,0.24,0.156,0.43
"P07","A Daniel Scioli",0.077,0.184,0.062,0.108,0.292,0.103
"P07","A algún candidato del peronismo",0.081,0.439,0.45,0.286,0.279,0.154
"P07","A algún candidato del kirchnerismo",0.574,0.078,0.217,0.366,0.273,0.313
"P08","A Horacio Rodriguez Larreta",0.276,0.11,0.264,0.262,0.763,0.413
"P08","A Patricia Bullrich",0.101,0.824,0.585,0.738,0.195,0.407
"P08","A Facundo Manes",0.516,0.035,0.151,0,0.021,0.109
"P08","A Gerardo Morales",0.107,0.031,0,0,0.021,0.071
"P09","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.249,0.011,0.011,0.066,0.138,0.206
"P09","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.658,0.005,0.004,0.187,0.07,0.038
"P09","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.04,0.019,0.017,0.076,0.126,0.05
"P09","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.01,0.75,0.04,0.023,0.024,0.107
"P09","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.015,0.162,0.033,0.049,0.27,0.218
"P09","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.017,0.033,0.838,0.083,0.057,0.048
"P09","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.001,0.006,0.017,0.47,0.012,0.005
"P09","En blanco",0.001,0.001,0.009,0.002,0.25,0.042
"P09","No sabe",0.009,0.013,0.031,0.044,0.053,0.286
"P12","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.254,0.03,0.017,0.109,0.159,0.166
"P12","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.639,0.021,0.019,0.206,0.047,0.057
"P12","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.032,0.7,0.092,0.044,0.018,0.076
"P12","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.03,0.171,0.035,0.053,0.295,0.221
"P12","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.029,0.044,0.747,0.048,0.072,0.045
"P12","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.005,0.018,0.051,0.428,0.019,0.042
"P12","En blanco",0,0.001,0.017,0.08,0.275,0.037
"P12","No sabe",0.011,0.015,0.022,0.032,0.115,0.356
"P15","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.633,0.027,0.02,0.193,0.188,0.202
"P15","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.125,0.029,0.042,0.076,0.136,0.05
"P15","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.021,0.708,0.067,0.014,0.024,0.098
"P15","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.034,0.165,0.044,0.054,0.241,0.209
"P15","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.033,0.056,0.792,0.071,0.05,0.04
"P15","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.033,0.004,0.016,0.535,0.027,0.044
"P15","En blanco",0.032,0.004,0.004,0.007,0.242,0.026
"P15","No sabe",0.089,0.007,0.015,0.05,0.092,0.331
"P18","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.797,0.029,0.033,0.207,0.086,0.126
"P18","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.084,0.042,0.046,0.051,0.147,0.065
"P18","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.013,0.697,0.055,0.077,0.019,0.068
"P18","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.029,0.172,0.041,0.06,0.239,0.242
"P18","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.035,0.043,0.792,0.052,0.048,0.025
"P18","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.016,0.002,0.014,0.517,0.031,0.032
"P18","En blanco",0.007,0.002,0.006,0,0.278,0.041
"P18","No sabe",0.019,0.013,0.013,0.036,0.152,0.401
"P21","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.729,0.033,0.042,0.176,0.181,0.204
"P21","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.024,0.715,0.074,0.028,0.047,0.082
"P21","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.045,0.162,0.045,0.066,0.254,0.229
"P21","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.029,0.056,0.763,0.097,0.071,0.033
"P21","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.039,0.009,0.042,0.521,0.02,0.028
"P21","En blanco",0.038,0.007,0.004,0.072,0.317,0.045
"P21","No sabe",0.096,0.018,0.03,0.04,0.11,0.379
"P24","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.664,0.067,0.026,0.219,0.156,0.147
"P24","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.031,0.52,0.259,0.011,0.018,0.082
"P24","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.23,0.14,0.049,0.093,0.233,0.187
"P24","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.025,0.259,0.617,0.07,0.074,0.044
"P24","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.011,0.003,0.02,0.509,0.002,0.012
"P24","En blanco",0.009,0.003,0.007,0.08,0.357,0.065
"P24","No sabe",0.03,0.008,0.022,0.018,0.16,0.463
"P25","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.669,0.068,0.027,0.157,0.194,0.168
"P25","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.009,0.53,0.237,0.016,0.033,0.076
"P25","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.214,0.127,0.046,0.087,0.256,0.189
"P25","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.017,0.262,0.656,0.106,0.066,0.037
"P25","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.014,0.004,0.019,0.578,0.002,0.014
"P25","En blanco",0.022,0.001,0,0.028,0.325,0.062
"P25","No sabe",0.055,0.008,0.015,0.028,0.124,0.454
"P26","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.811,0.007,0.021,0.133,0.168,0.218
"P26","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.009,0.93,0.039,0.018,0.031,0.111
"P26","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.011,0.03,0.902,0.074,0.069,0.018
