"var","categoria","Victoria Tolosa Paz por Unión por la Patria","Nestor Grindetti por Juntos por el Cambio","Guillermo Britos por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P24","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.029,0.245,0.603,0.023,0.056,0.116
"P24","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.01,0.003,0.012,0.327,0.006,0.014
"P24","En blanco",0.021,0.002,0.001,0.077,0.12,0.002
"P24","No sabe",0.053,0.009,0.015,0.029,0.069,0.238
"P25","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.648,0.069,0.023,0.333,0.452,0.387
"P25","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.012,0.529,0.277,0.015,0.036,0.05
"P25","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.248,0.14,0.039,0.114,0.221,0.148
"P25","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.024,0.254,0.649,0.012,0.047,0.083
"P25","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.009,0.002,0.001,0.386,0.021,0.008
"P25","En blanco",0.012,0.003,0.001,0.067,0.179,0.001
"P25","No sabe",0.047,0.003,0.01,0.073,0.044,0.323
"P26","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.838,0.017,0.027,0.345,0.503,0.381
"P26","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.031,0.892,0.066,0.015,0.062,0.1
"P26","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.019,0.04,0.883,0.029,0.041,0.064
"P26","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.029,0.014,0.005,0.476,0.004,0.01
"P26","En blanco",0.03,0.012,0.004,0.027,0.278,0.018
"P26","No sabe",0.053,0.025,0.015,0.108,0.112,0.427
"P27","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.839,0.019,0.026,0.29,0.513,0.402
"P27","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.033,0.645,0.036,0.057,0.107,0.125
"P27","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.029,0.131,0.903,0.01,0.04,0.094
"P27","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.034,0.007,0.011,0.507,0.002,0.017
"P27","En blanco",0.022,0.063,0.012,0.046,0.255,0.012
"P27","No sabe",0.043,0.135,0.012,0.09,0.083,0.35
"P28","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.894,0.017,0.037,0.377,0.649,0.464
"P28","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.026,0.913,0.075,0.036,0.063,0.091
