"var","categoria","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza","Los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P06","Unión por la Patria y el peronismo",0.723,0.849,0.065,0.128,0.063,0.11,0.147,0.152
"P06","Juntos por el Cambio ",0.088,0.064,0.776,0.717,0.077,0.161,0.052,0.147
"P06","De los Liberales libertarios",0.03,0.016,0.096,0.052,0.758,0.266,0.035,0.066
"P06","De la Izquierda",0.029,0.023,0.009,0.007,0.013,0.412,0.162,0.052
"P06","No sabe",0.13,0.048,0.054,0.096,0.089,0.051,0.604,0.583
"P07","A Sergio Massa",0.564,0.133,0.323,0.311,0.3,0.249,0.23,0.109
"P07","A Daniel Scioli",0.126,0.055,0.182,0.18,0.164,0.138,0.588,0.263
"P07","A algún candidato del peronismo",0.106,0.087,0.317,0.211,0.249,0.218,0.058,0.281
"P07","A algún candidato del kirchnerismo",0.204,0.725,0.178,0.298,0.287,0.395,0.124,0.347
"P08","A Horacio Rodriguez Larreta",0.231,0.29,0.016,0.576,0.19,0.261,0,0.334
"P08","A Patricia Bullrich",0.49,0.335,0.929,0.286,0.621,0.572,0.581,0.354
"P08","A Facundo Manes",0.131,0.328,0.023,0.092,0.165,0.133,0.26,0.217
"P08","A Gerardo Morales",0.148,0.047,0.032,0.046,0.024,0.034,0.159,0.095
"P09","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.63,0.071,0.025,0.038,0.023,0.027,0.005,0.05
"P09","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.131,0.832,0.014,0.047,0.034,0.037,0.011,0.017
"P09","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.068,0.021,0.021,0.036,0.018,0.047,0.097,0.089
"P09","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.059,0.018,0.816,0.15,0.049,0.028,0.012,0.054
