"var","categoria","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza","Los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P06","Unión por la Patria y el peronismo",0.849,0.046,0.024,0.486,0.621,0.592
"P06","Juntos por el Cambio ",0.08,0.859,0.09,0.041,0.186,0.168
"P06","De los Liberales libertarios",0.022,0.047,0.801,0.023,0.009,0.031
"P06","De la Izquierda",0.01,0.011,0.008,0.366,0.007,0.014
"P06","No sabe",0.039,0.037,0.077,0.084,0.177,0.195
"P07","A Sergio Massa",0.311,0.4,0.369,0.182,0.205,0.301
"P07","A Daniel Scioli",0.139,0.098,0.031,0.008,0.022,0.013
"P07","A algún candidato del peronismo",0.065,0.349,0.483,0.124,0.15,0.144
"P07","A algún candidato del kirchnerismo",0.485,0.153,0.117,0.686,0.623,0.542
"P08","A Horacio Rodriguez Larreta",0.268,0.113,0.242,0.609,0.446,0.354
"P08","A Patricia Bullrich",0.287,0.828,0.613,0.12,0.491,0.335
"P08","A Facundo Manes",0.368,0.031,0.145,0.271,0.033,0.193
"P08","A Gerardo Morales",0.077,0.028,0,0,0.03,0.118
"P09","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.285,0.009,0.011,0.141,0.16,0.202
"P09","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.536,0.009,0.007,0.401,0.48,0.379
"P09","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.091,0.008,0.016,0.023,0.027,0.031
"P09","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.02,0.75,0.039,0.007,0.102,0.042
"P09","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.026,0.171,0.03,0.021,0.099,0.141
"P09","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.027,0.034,0.868,0.022,0.013,0.022
"P09","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.001,0.001,0.008,0.34,0.01,0.003
"P09","En blanco",0,0.006,0.003,0.026,0.085,0.015
"P09","No sabe",0.014,0.012,0.018,0.019,0.024,0.165
"P12","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.287,0.03,0.024,0.116,0.148,0.185
"P12","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.53,0.029,0.012,0.392,0.493,0.374
"P12","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.042,0.703,0.112,0.009,0.068,0.055
"P12","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.043,0.165,0.026,0.05,0.154,0.14
"P12","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.04,0.045,0.744,0.026,0.009,0.027
"P12","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.017,0.011,0.048,0.284,0.012,0.034
"P12","En blanco",0.012,0.002,0.011,0.075,0.083,0.014
"P12","No sabe",0.029,0.015,0.023,0.048,0.033,0.171
"P15","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.644,0.033,0.022,0.322,0.409,0.381
"P15","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.194,0.03,0.034,0.031,0.043,0.066
"P15","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.039,0.711,0.069,0.007,0.098,0.051
"P15","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.037,0.163,0.034,0.023,0.149,0.126
"P15","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.036,0.049,0.816,0.024,0.013,0.017
"P15","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.01,0.003,0.015,0.522,0.009,0.022
"P15","En blanco",0.01,0.003,0.005,0.016,0.184,0.036
"P15","No sabe",0.03,0.008,0.005,0.055,0.095,0.301
"P18","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.703,0.037,0.038,0.449,0.544,0.468
"P18","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.15,0.027,0.042,0.041,0.029,0.046
"P18","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.025,0.708,0.057,0.009,0.087,0.047
"P18","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.038,0.175,0.029,0.025,0.113,0.141
"P18","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.044,0.042,0.801,0.008,0.016,0.033
"P18","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.008,0,0.014,0.421,0.005,0.02
"P18","En blanco",0.007,0.001,0.008,0.024,0.114,0.015
"P18","No sabe",0.025,0.01,0.011,0.023,0.092,0.23
"P21","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.745,0.037,0.04,0.299,0.49,0.395
"P21","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.049,0.713,0.085,0.011,0.083,0.047
"P21","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.052,0.158,0.048,0.051,0.121,0.148
"P21","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.044,0.056,0.767,0.026,0.015,0.025
"P21","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.014,0.017,0.027,0.499,0.001,0.033
"P21","En blanco",0.033,0.003,0.002,0.081,0.193,0.029
"P21","No sabe",0.063,0.016,0.031,0.033,0.097,0.323
"P24","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.572,0.086,0.029,0.35,0.451,0.418
"P24","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.054,0.507,0.273,0.005,0.077,0.031
"P24","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.241,0.137,0.059,0.154,0.226,0.231
"P24","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.039,0.257,0.62,0.006,0.046,0.03
"P24","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.011,0.005,0.003,0.384,0,0.015
"P24","En blanco",0.024,0.001,0.001,0.071,0.122,0.024
"P24","No sabe",0.059,0.007,0.015,0.03,0.078,0.251
"P25","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.628,0.091,0.02,0.365,0.438,0.373
"P25","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.015,0.514,0.265,0.003,0.09,0.043
"P25","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.239,0.125,0.051,0.104,0.203,0.235
"P25","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.025,0.262,0.647,0.01,0.015,0.027
"P25","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.019,0.002,0.002,0.42,0.008,0.006
"P25","En blanco",0.022,0.002,0.001,0.041,0.173,0.025
"P25","No sabe",0.052,0.004,0.014,0.057,0.073,0.291
"P26","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.83,0.013,0.023,0.374,0.464,0.441
"P26","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.027,0.929,0.036,0.007,0.107,0.048
"P26","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.028,0.022,0.919,0.021,0.007,0.009
"P26","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.019,0.011,0.001,0.52,0.008,0.025
"P26","En blanco",0.037,0.009,0.005,0.024,0.281,0.034
"P26","No sabe",0.059,0.016,0.016,0.054,0.133,0.443
"P27","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.813,0.01,0.018,0.342,0.482,0.466
"P27","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.047,0.643,0.032,0.027,0.187,0.141
"P27","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.03,0.124,0.925,0.014,0.002,0.004
"P27","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.023,0.009,0.006,0.551,0.001,0.018
"P27","En blanco",0.031,0.06,0.009,0.039,0.272,0.015
"P27","No sabe",0.056,0.154,0.01,0.027,0.056,0.356
"P28","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.859,0.013,0.026,0.459,0.593,0.514
"P28","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.033,0.932,0.041,0.015,0.1,0.055
"P28","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.025,0.029,0.916,0.007,0.003,0.013
"P28","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.009,0.009,0.004,0.447,0.002,0.015
"P28","En blanco",0.034,0.004,0.008,0.002,0.271,0.031
"P28","No sabe",0.04,0.013,0.005,0.07,0.031,0.372
