"var","categoria","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza","Los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P06","Unión por la Patria y el peronismo",0.889,0.052,0.017,0.352,0.265,0.273
"P06","Juntos por el Cambio ",0.05,0.866,0.216,0.036,0.407,0.374
"P06","De los Liberales libertarios",0.014,0.028,0.686,0.023,0.026,0.086
"P06","De la Izquierda",0.008,0.009,0.013,0.564,0.039,0.014
"P06","No sabe",0.039,0.045,0.068,0.025,0.263,0.253
"P07","A Sergio Massa",0.282,0.457,0.355,0.23,0.15,0.301
"P07","A Daniel Scioli",0.072,0.229,0.034,0.183,0.158,0.099
"P07","A algún candidato del peronismo",0.077,0.282,0.475,0.231,0.334,0.208
"P07","A algún candidato del kirchnerismo",0.569,0.032,0.136,0.356,0.358,0.392
"P08","A Horacio Rodriguez Larreta",0.199,0.221,0.051,0.317,0.005,0.026
"P08","A Patricia Bullrich",0.113,0.693,0.892,0.469,0.975,0.893
"P08","A Facundo Manes",0.563,0.041,0.057,0.214,0.008,0.076
"P08","A Gerardo Morales",0.125,0.045,0,0,0.012,0.005
"P09","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.274,0.01,0.012,0.059,0.086,0.106
"P09","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.628,0.008,0.011,0.213,0.119,0.138
"P09","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.042,0.016,0.021,0.084,0.07,0.048
"P09","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.017,0.594,0.206,0.011,0.462,0.371
"P09","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.006,0.328,0.007,0.048,0.006,0.036
"P09","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.018,0.024,0.713,0.057,0.029,0.063
"P09","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.002,0,0.006,0.5,0.013,0.004
"P09","En blanco",0.005,0.001,0.002,0.005,0.155,0.021
"P09","No sabe",0.008,0.019,0.022,0.023,0.06,0.213
"P12","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.271,0.033,0.027,0.102,0.061,0.086
"P12","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.618,0.024,0.01,0.252,0.183,0.139
