"var","categoria","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza","Los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P06","Unión por la Patria y el peronismo",0.787,0.087,0.491,0.06,0.157,0.216,0.323
"P06","Juntos por el Cambio ",0.134,0.627,0.396,0.368,0.033,0.081,0.093
"P06","De los Liberales libertarios",0.02,0.225,0.048,0.501,0.095,0.128,0.049
"P06","De la Izquierda",0.018,0.01,0.01,0.01,0.57,0.124,0.027
"P06","No sabe",0.041,0.051,0.055,0.061,0.145,0.451,0.508
"P07","A Sergio Massa",0.257,0.394,0.309,0.398,0.123,0.189,0.409
"P07","A Daniel Scioli",0.076,0.191,0.085,0.092,0.125,0.197,0.155
"P07","A algún candidato del peronismo",0.096,0.291,0.087,0.247,0.314,0.197,0.131
"P07","A algún candidato del kirchnerismo",0.571,0.124,0.519,0.263,0.438,0.417,0.305
"P08","A Horacio Rodriguez Larreta",0.398,0.035,0.509,0.055,0.21,0.054,0.045
"P08","A Patricia Bullrich",0.339,0.908,0.355,0.885,0.591,0.807,0.664
"P08","A Facundo Manes",0.214,0.032,0.069,0.043,0.199,0.08,0.254
"P08","A Gerardo Morales",0.049,0.025,0.067,0.017,0,0.059,0.037
"P09","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.217,0.025,0.155,0.022,0.082,0.149,0.208
"P09","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.564,0.028,0.348,0.022,0.122,0.106,0.091
"P09","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.047,0.02,0.02,0.024,0.091,0.125,0.089
"P09","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.039,0.641,0.098,0.357,0.027,0.022,0.066
"P09","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.089,0.04,0.316,0.031,0.016,0.007,0.01
"P09","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.026,0.219,0.03,0.52,0.112,0.104,0.039
"P09","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.001,0.001,0.018,0.003,0.469,0.074,0.016
"P09","En blanco",0.003,0.005,0.001,0.001,0.046,0.336,0.073
"P09","No sabe",0.014,0.021,0.014,0.02,0.035,0.077,0.408
"P12","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.224,0.052,0.157,0.026,0.102,0.192,0.234
"P12","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.578,0.028,0.347,0.038,0.098,0.08,0.056
"P12","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.047,0.616,0.089,0.38,0.023,0.052,0.048
"P12","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.104,0.062,0.304,0.032,0.018,0.033,0.041
"P12","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.025,0.197,0.055,0.47,0.158,0.057,0.055
"P12","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.005,0.019,0.022,0.033,0.421,0.079,0.037
"P12","En blanco",0.001,0.002,0.013,0.002,0.112,0.386,0.063
"P12","No sabe",0.016,0.024,0.013,0.019,0.068,0.121,0.466
"P15","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.545,0.054,0.381,0.032,0.169,0.121,0.222
"P15","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.124,0.04,0.067,0.032,0.067,0.1,0.096
"P15","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.045,0.616,0.071,0.374,0.011,0.069,0.057
"P15","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.103,0.04,0.318,0.033,0.016,0.05,0.024
"P15","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.04,0.224,0.062,0.495,0.125,0.03,0.057
"P15","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.032,0.006,0.027,0.008,0.528,0.195,0.01
"P15","En blanco",0.022,0.007,0.02,0,0.03,0.346,0.088
"P15","No sabe",0.089,0.013,0.054,0.026,0.054,0.089,0.446
"P18","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.725,0.042,0.461,0.038,0.104,0.069,0.108
"P18","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.067,0.05,0.058,0.045,0.133,0.099,0.122
"P18","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.047,0.613,0.071,0.355,0.016,0.07,0.028
"P18","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.095,0.057,0.323,0.038,0.072,0.006,0.039
"P18","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.031,0.217,0.033,0.504,0.091,0.095,0.028
"P18","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.011,0.005,0.01,0.005,0.559,0.198,0.027
"P18","En blanco",0.004,0.001,0.019,0,0.011,0.351,0.089
"P18","No sabe",0.02,0.015,0.025,0.015,0.014,0.112,0.559
"P21","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.622,0.086,0.41,0.05,0.143,0.111,0.223
"P21","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.051,0.636,0.091,0.371,0.015,0.014,0.027
"P21","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.116,0.04,0.32,0.036,0.008,0.008,0.043
"P21","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.049,0.214,0.055,0.497,0.05,0.069,0.044
"P21","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.042,0.007,0.033,0.022,0.7,0.049,0.007
"P21","En blanco",0.03,0.005,0.022,0.002,0.053,0.686,0.026
"P21","No sabe",0.09,0.012,0.069,0.022,0.031,0.063,0.63
"P25","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.842,0.067,0.042,0.02,0.11,0.068,0.17
"P25","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.024,0.834,0.075,0.037,0.027,0.048,0.038
"P25","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.021,0.04,0.778,0.027,0.054,0.047,0.06
"P25","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.03,0.05,0.02,0.892,0.032,0.017,0.035
"P25","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.015,0,0.016,0.006,0.752,0.109,0.018
"P25","En blanco",0.017,0,0.014,0.001,0.016,0.677,0.027
"P25","No sabe",0.051,0.009,0.055,0.017,0.009,0.034,0.652
"P26","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.704,0.044,0.44,0.035,0.167,0.24,0.322
"P26","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.075,0.73,0.24,0.388,0.049,0.045,0.072
"P26","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.02,0.202,0.073,0.547,0.085,0.007,0.035
"P26","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.044,0.003,0.032,0.009,0.655,0.101,0.014
"P26","En blanco",0.048,0.007,0.065,0.009,0.027,0.416,0.061
"P26","No sabe",0.109,0.014,0.15,0.012,0.017,0.191,0.496
"P27","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.714,0.044,0.432,0.035,0.156,0.19,0.308
"P27","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.096,0.458,0.373,0.213,0.053,0.059,0.055
"P27","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.028,0.309,0.052,0.591,0.082,0.007,0.041
"P27","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.048,0.005,0.039,0.01,0.632,0.08,0.005
"P27","En blanco",0.037,0.059,0.038,0.028,0.067,0.508,0.082
"P27","No sabe",0.077,0.125,0.066,0.123,0.01,0.156,0.509
"P28","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.815,0.046,0.494,0.04,0.144,0.112,0.17
"P28","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.077,0.715,0.279,0.386,0.033,0.031,0.045
"P28","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.017,0.207,0.057,0.533,0.135,0.047,0.068
"P28","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.027,0.002,0.02,0.011,0.651,0.1,0.01
"P28","En blanco",0.023,0.003,0.059,0.014,0.003,0.528,0.109
"P28","No sabe",0.041,0.027,0.091,0.016,0.034,0.182,0.598
"P29","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.821,0.045,0.501,0.042,0.099,0.151,0.199
"P29","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.103,0.457,0.38,0.224,0.011,0.053,0.057
"P29","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.016,0.32,0.05,0.587,0.14,0.054,0.033
"P29","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.017,0.01,0.013,0.013,0.652,0.039,0.009
"P29","En blanco",0.011,0.061,0.02,0.025,0.04,0.554,0.105
"P29","No sabe",0.032,0.107,0.036,0.109,0.058,0.149,0.597
"P30","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.792,0.045,0.477,0.047,0.142,0.191,0.303
"P30","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.079,0.704,0.255,0.39,0.019,0.028,0.062
"P30","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.021,0.21,0.07,0.521,0.11,0.009,0.045
"P30","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.022,0.007,0.025,0.002,0.635,0.094,0.017
"P30","En blanco",0.028,0.013,0.059,0.009,0.038,0.512,0.085
"P30","No sabe",0.058,0.021,0.114,0.031,0.056,0.166,0.488
"P31","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.774,0.05,0.46,0.038,0.158,0.187,0.295
"P31","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.103,0.446,0.393,0.234,0.007,0.032,0.036
"P31","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.027,0.342,0.045,0.592,0.03,0.006,0.063
"P31","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.028,0.011,0.017,0.004,0.698,0.099,0.011
"P31","En blanco",0.019,0.074,0.025,0.038,0.074,0.544,0.085
"P31","No sabe",0.049,0.077,0.06,0.094,0.033,0.132,0.51
"P32","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.49,0.055,0.342,0.043,0.089,0.25,0.239
"P32","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.097,0.683,0.257,0.379,0.054,0.019,0.038
"P32","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.02,0.218,0.065,0.541,0.02,0.011,0.046
"P32","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.073,0.001,0.053,0.002,0.771,0.175,0.029
"P32","En blanco",0.128,0.026,0.107,0.017,0,0.412,0.105
"P32","No sabe",0.192,0.017,0.176,0.018,0.066,0.133,0.543
