"var","categoria","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza","Los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P24","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.233,0.143,0.044,0.507,0.051,0.108,0.11,0.107
"P24","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.027,0.095,0.327,0.073,0.575,0.045,0,0.073
"P24","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.022,0.03,0.002,0.005,0.021,0.429,0.034,0.022
"P24","En blanco",0.014,0.04,0.008,0.015,0.005,0.143,0.359,0.033
"P24","No sabe",0.065,0.098,0.017,0.019,0.023,0.017,0.231,0.418
"P25","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.631,0.498,0.052,0.273,0.048,0.205,0.148,0.225
"P25","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.039,0.055,0.572,0.091,0.262,0.01,0.055,0.038
"P25","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.227,0.142,0.03,0.529,0.035,0.115,0.156,0.078
"P25","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.021,0.088,0.326,0.074,0.611,0.025,0.005,0.069
"P25","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.01,0.045,0.005,0.003,0.014,0.542,0.036,0.029
"P25","En blanco",0.018,0.043,0.008,0.006,0.002,0.092,0.4,0.047
"P25","No sabe",0.054,0.129,0.007,0.024,0.028,0.011,0.2,0.514
"P26","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.883,0.517,0.036,0.109,0.043,0.129,0.116,0.204
"P26","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.031,0.146,0.903,0.456,0.088,0.014,0.004,0.063
"P26","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.012,0.077,0.046,0.084,0.827,0.059,0.036,0.04
"P26","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.017,0.045,0.002,0.031,0.011,0.68,0.057,0.029
"P26","En blanco",0.013,0.087,0.004,0.082,0.006,0.044,0.576,0.106
"P26","No sabe",0.044,0.128,0.009,0.238,0.025,0.074,0.211,0.558
"P27","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.891,0.505,0.033,0.081,0.045,0.109,0.144,0.209
"P27","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.038,0.126,0.533,0.753,0.05,0.019,0.086,0.036
"P27","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.011,0.12,0.152,0.049,0.847,0.063,0.019,0.048
"P27","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.025,0.052,0.005,0.015,0.01,0.655,0.027,0.037
"P27","En blanco",0.006,0.084,0.073,0.022,0.014,0.091,0.611,0.111
"P27","No sabe",0.029,0.113,0.204,0.08,0.034,0.063,0.113,0.559
"P28","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.837,0.596,0.028,0.115,0.061,0.296,0.436,0.458
"P28","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.033,0.13,0.888,0.526,0.097,0.035,0.054,0.033
"P28","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.014,0.107,0.049,0.082,0.801,0.076,0.031,0.042
"P28","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.026,0.036,0.002,0.018,0.013,0.477,0.01,0.026
"P28","En blanco",0.03,0.077,0.004,0.098,0.011,0.028,0.388,0.056
"P28","No sabe",0.06,0.054,0.029,0.161,0.017,0.088,0.081,0.385
