"var","categoria","Axel Kicillof por Unión por la Patria","Diego Santilli por Juntos por el Cambio","Guillermo Britos por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P06","Unión por la Patria y el peronismo",0.88,0.062,0.019,0.077,0.126,0.181
"P06","Juntos por el Cambio ",0.042,0.816,0.165,0.098,0.36,0.406
"P06","De los Liberales libertarios",0.018,0.068,0.742,0.004,0.15,0.146
"P06","De la Izquierda",0.008,0.007,0.011,0.735,0.029,0.005
"P06","No sabe",0.052,0.047,0.063,0.086,0.335,0.262
"P07","A Sergio Massa",0.299,0.378,0.364,0.048,0.061,0.16
"P07","A Daniel Scioli",0.066,0.193,0.079,0,0.241,0.158
"P07","A algún candidato del peronismo",0.075,0.273,0.499,0.952,0.648,0.369
"P07","A algún candidato del kirchnerismo",0.56,0.156,0.058,0,0.05,0.313
"P08","A Horacio Rodriguez Larreta",0.264,0.172,0,0,0.005,0.183
"P08","A Patricia Bullrich",0.092,0.758,0.94,0.563,0.979,0.667
"P08","A Facundo Manes",0.621,0.032,0.057,0.02,0,0.087
"P08","A Gerardo Morales",0.023,0.038,0.003,0.417,0.016,0.063
"P09","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.277,0.01,0.005,0.044,0.047,0.081
"P09","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.615,0.009,0.004,0.06,0.009,0.05
"P09","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.041,0.029,0.009,0.09,0.071,0.051
"P09","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.013,0.623,0.149,0.017,0.423,0.346
"P09","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.009,0.252,0.008,0.044,0.002,0.079
"P09","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.015,0.049,0.803,0.004,0.188,0.143
"P09","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.005,0.001,0.011,0.709,0.008,0
"P09","En blanco",0.011,0.002,0,0,0.157,0.031
"P09","No sabe",0.014,0.025,0.011,0.032,0.095,0.219
"P12","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.267,0.031,0.013,0.07,0.021,0.042
"P12","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.612,0.027,0.005,0.02,0.018,0.055
"P12","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.025,0.601,0.196,0.047,0.424,0.369
"P12","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.033,0.231,0.01,0.05,0.04,0.082
"P12","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.026,0.054,0.713,0.004,0.101,0.166
"P12","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.009,0.022,0.047,0.648,0.049,0.005
"P12","En blanco",0.009,0.005,0.011,0.102,0.166,0.026
"P12","No sabe",0.019,0.029,0.005,0.059,0.181,0.255
"P15","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.64,0.031,0.01,0.135,0.063,0.09
"P15","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.127,0.036,0.037,0.029,0.071,0.042
"P15","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.026,0.608,0.15,0.018,0.412,0.319
"P15","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.027,0.229,0.029,0,0.01,0.082
"P15","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.027,0.058,0.76,0.047,0.149,0.176
"P15","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.036,0.003,0.011,0.75,0.049,0.005
"P15","En blanco",0.033,0.014,0,0.007,0.155,0.031
"P15","No sabe",0.084,0.021,0.003,0.014,0.091,0.255
"P18","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.772,0.03,0.031,0.086,0.02,0.074
"P18","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.07,0.051,0.022,0.037,0.134,0.073
"P18","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.016,0.591,0.177,0.02,0.418,0.302
"P18","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.029,0.241,0.018,0.079,0,0.062
"P18","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.035,0.062,0.724,0.001,0.152,0.179
"P18","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.018,0,0.003,0.74,0.049,0.006
"P18","En blanco",0.013,0.004,0.011,0,0.127,0.033
"P18","No sabe",0.047,0.021,0.014,0.037,0.1,0.271
"P21","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.718,0.034,0.048,0.128,0.052,0.081
"P21","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.026,0.599,0.175,0.017,0.372,0.341
"P21","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.038,0.242,0.025,0.005,0.024,0.076
"P21","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.032,0.077,0.697,0,0.17,0.149
"P21","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.043,0.016,0.021,0.753,0,0.007
"P21","En blanco",0.041,0.01,0.001,0.055,0.252,0.043
"P21","No sabe",0.102,0.022,0.033,0.042,0.13,0.303
"P24","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.614,0.104,0.027,0.088,0.031,0.077
"P24","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.032,0.425,0.355,0.046,0.354,0.18
"P24","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.242,0.197,0.041,0.047,0.014,0.072
"P24","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.027,0.25,0.567,0.012,0.17,0.32
"P24","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.01,0.001,0.002,0.748,0.044,0.011
"P24","En blanco",0.02,0.003,0.001,0.024,0.27,0.015
"P24","No sabe",0.055,0.02,0.007,0.035,0.117,0.325
"P25","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.638,0.097,0.008,0.082,0.051,0.071
"P25","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.007,0.448,0.347,0.009,0.3,0.202
"P25","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.226,0.19,0.024,0.055,0.022,0.083
"P25","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.016,0.24,0.617,0.011,0.25,0.273
"P25","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.02,0.003,0,0.745,0.013,0.003
"P25","En blanco",0.027,0.004,0.001,0.013,0.257,0.018
"P25","No sabe",0.066,0.018,0.003,0.085,0.107,0.35
"P26","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.794,0.012,0.005,0.095,0.06,0.096
"P26","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.012,0.807,0.154,0.01,0.419,0.334
"P26","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.01,0.067,0.828,0.018,0.14,0.179
"P26","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.038,0.014,0.003,0.832,0.01,0.007
"P26","En blanco",0.045,0.032,0,0.017,0.257,0.018
"P26","No sabe",0.101,0.068,0.01,0.028,0.114,0.366
"P27","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.797,0.016,0.006,0.082,0.067,0.071
"P27","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.014,0.718,0.043,0.006,0.122,0.129
"P27","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.021,0.11,0.913,0.004,0.174,0.201
"P27","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.046,0.005,0.007,0.861,0.01,0.004
"P27","En blanco",0.041,0.034,0.016,0.02,0.503,0.05
"P27","No sabe",0.081,0.117,0.015,0.027,0.124,0.545
"P28","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.89,0.015,0.02,0.06,0.057,0.073
"P28","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.005,0.836,0.157,0.036,0.41,0.342
