"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Alberto Fernandez","Muy buena",0.409,0.312,0.501,0.449,0.47,0.329,0.21,0.504,0.31,0.293,0.538,0.032,0
"Alberto Fernandez","Buena",0.15,0.155,0.145,0.111,0.2,0.136,0.138,0.124,0.182,0.173,0.183,0.043,0.153
"Alberto Fernandez","Ni buena ni mala",0.193,0.197,0.19,0.215,0.182,0.132,0.259,0.196,0.229,0.11,0.175,0.194,0.321
"Alberto Fernandez","Mala",0.085,0.103,0.068,0.02,0.047,0.215,0.208,0.057,0.097,0.153,0.03,0.235,0.377
"Alberto Fernandez","Muy mala",0.123,0.173,0.076,0.126,0.069,0.188,0.185,0.077,0.139,0.246,0.039,0.432,0.149
"Alberto Fernandez","No sabe",0.04,0.06,0.02,0.079,0.032,0,0,0.042,0.043,0.025,0.035,0.064,0
"CFK","Muy buena",0.448,0.397,0.497,0.488,0.459,0.442,0.29,0.494,0.407,0.378,0.565,0.074,0.252
"CFK","Buena",0.17,0.153,0.186,0.164,0.218,0.085,0.165,0.203,0.14,0.118,0.212,0.029,0.019
"CFK","Ni buena ni mala",0.131,0.13,0.132,0.19,0.142,0.048,0.041,0.128,0.165,0.071,0.119,0.127,0.208
"CFK","Mala",0.063,0.08,0.048,0.005,0.051,0.158,0.146,0.058,0.058,0.096,0.042,0.155,0.109
"CFK","Muy mala",0.17,0.219,0.123,0.131,0.112,0.261,0.339,0.108,0.202,0.311,0.05,0.58,0.412
"CFK","No sabe",0.018,0.021,0.014,0.022,0.018,0.006,0.019,0.009,0.028,0.026,0.012,0.035,0
"Horacio Rodriguez Larreta","Muy buena",0.143,0.175,0.113,0.112,0.094,0.183,0.336,0.133,0.155,0.15,0.085,0.413,0.054
"Horacio Rodriguez Larreta","Buena",0.173,0.167,0.179,0.126,0.186,0.18,0.272,0.181,0.174,0.145,0.144,0.231,0.452
"Horacio Rodriguez Larreta","Ni buena ni mala",0.413,0.405,0.421,0.499,0.414,0.324,0.274,0.463,0.371,0.331,0.458,0.222,0.475
"Horacio Rodriguez Larreta","Mala",0.101,0.075,0.125,0.072,0.105,0.203,0.018,0.068,0.141,0.128,0.112,0.067,0.019
"Horacio Rodriguez Larreta","Muy mala",0.067,0.095,0.04,0.05,0.09,0.052,0.076,0.033,0.078,0.163,0.08,0.027,0
"Horacio Rodriguez Larreta","No sabe",0.103,0.083,0.122,0.141,0.111,0.058,0.024,0.122,0.081,0.083,0.121,0.04,0
"Sergio Massa","Muy buena",0.094,0.093,0.094,0.029,0.139,0.09,0.163,0.109,0.075,0.079,0.101,0.022,0.253
"Sergio Massa","Buena",0.222,0.226,0.219,0.17,0.241,0.304,0.203,0.231,0.218,0.201,0.273,0.094,0.019
"Sergio Massa","Ni buena ni mala",0.405,0.354,0.453,0.546,0.388,0.236,0.274,0.48,0.347,0.263,0.464,0.234,0.226
"Sergio Massa","Mala",0.106,0.115,0.097,0.064,0.09,0.166,0.193,0.063,0.159,0.145,0.062,0.203,0.383
"Sergio Massa","Muy mala",0.105,0.144,0.068,0.076,0.065,0.204,0.167,0.045,0.123,0.277,0.027,0.386,0.119
"Sergio Massa","No sabe",0.068,0.068,0.069,0.115,0.077,0,0,0.072,0.078,0.035,0.073,0.061,0
"Mauricio Macri","Muy buena",0.093,0.099,0.088,0.052,0.047,0.165,0.262,0.096,0.102,0.069,0.021,0.401,0
"Mauricio Macri","Buena",0.113,0.123,0.103,0.121,0.06,0.134,0.223,0.14,0.088,0.071,0.09,0.229,0.105
"Mauricio Macri","Ni buena ni mala",0.258,0.239,0.276,0.293,0.289,0.185,0.161,0.28,0.212,0.278,0.27,0.21,0.156
"Mauricio Macri","Mala",0.299,0.329,0.27,0.307,0.329,0.293,0.182,0.298,0.317,0.262,0.341,0.092,0.644
"Mauricio Macri","Muy mala",0.204,0.183,0.225,0.189,0.234,0.215,0.144,0.144,0.262,0.291,0.251,0.047,0.095
"Mauricio Macri","No sabe",0.033,0.027,0.038,0.038,0.041,0.008,0.028,0.042,0.019,0.029,0.027,0.021,0
