"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Si",0.779,0.81,0.749,0.722,0.805,0.824,0.807,0.756,0.808,0.795,0.813,0.7,0.794
"Puede ser",0.152,0.123,0.179,0.226,0.149,0.065,0.06,0.18,0.126,0.112,0.143,0.18,0.105
"No",0.069,0.067,0.072,0.052,0.046,0.111,0.133,0.064,0.066,0.093,0.044,0.12,0.101
