"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"A Alberto Fernández",0.15,0.12,0.176,0.366,0.036,0.103,0.189,0.165,0.221,0.021,0.068,0.071,0.235,0.107,0.364,0
"A Sergio Massa",0.142,0.127,0.155,0,0.233,0.141,0.123,0.192,0.129,0.11,0.097,0.214,0.148,0.159,0.074,0.29
"A algún candidato del peronismo",0.209,0.252,0.172,0.175,0.254,0.189,0.177,0.184,0.191,0.265,0.354,0.182,0.118,0.147,0.282,0.71
"A Cristina Fernández de Kirchner",0.499,0.501,0.497,0.459,0.477,0.567,0.511,0.459,0.459,0.604,0.481,0.533,0.499,0.587,0.28,0
