"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"Julio Zamora","Positiva",0.399,0.383,0.415,0.331,0.416,0.388,0.462,0.387,0.432,0.364,0.421,0.366,0.393,0.564,0.299,0.325
"Julio Zamora","Neutra",0.248,0.272,0.226,0.236,0.267,0.225,0.246,0.253,0.251,0.239,0.211,0.245,0.281,0.197,0.273,0.314
"Julio Zamora","Negativa",0.315,0.311,0.317,0.378,0.282,0.343,0.277,0.322,0.271,0.372,0.346,0.31,0.289,0.208,0.393,0.306
"Julio Zamora","No sabe",0.038,0.034,0.042,0.055,0.035,0.044,0.015,0.038,0.046,0.025,0.022,0.079,0.037,0.031,0.035,0.055
"Patricia Bullrich","Positiva",0.394,0.44,0.351,0.334,0.356,0.451,0.472,0.4,0.361,0.431,0.428,0.377,0.372,0.155,0.645,0.185
"Patricia Bullrich","Neutra",0.138,0.113,0.161,0.213,0.126,0.087,0.165,0.172,0.122,0.127,0.102,0.215,0.139,0.086,0.11,0.379
"Patricia Bullrich","Negativa",0.442,0.44,0.445,0.383,0.503,0.437,0.357,0.41,0.47,0.439,0.437,0.393,0.466,0.719,0.229,0.436
"Patricia Bullrich","No sabe",0.026,0.007,0.043,0.07,0.015,0.025,0.006,0.018,0.047,0.003,0.033,0.015,0.023,0.04,0.016,0
"Segundo Cernadas","Positiva",0.377,0.343,0.41,0.34,0.337,0.432,0.447,0.36,0.405,0.352,0.379,0.2,0.435,0.144,0.6,0.275
"Segundo Cernadas","Neutra",0.269,0.286,0.253,0.287,0.286,0.241,0.246,0.214,0.291,0.296,0.272,0.369,0.234,0.313,0.208,0.293
"Segundo Cernadas","Negativa",0.26,0.272,0.249,0.198,0.305,0.274,0.192,0.301,0.222,0.275,0.29,0.214,0.25,0.434,0.11,0.342
"Segundo Cernadas","No sabe",0.094,0.099,0.088,0.175,0.072,0.053,0.115,0.125,0.082,0.077,0.059,0.217,0.081,0.109,0.082,0.09
"Horacio Rodriguez Larreta","Positiva",0.352,0.344,0.36,0.254,0.347,0.382,0.431,0.419,0.331,0.316,0.34,0.381,0.352,0.15,0.552,0.377
"Horacio Rodriguez Larreta","Neutra",0.196,0.187,0.204,0.289,0.174,0.165,0.198,0.141,0.197,0.249,0.193,0.234,0.184,0.146,0.215,0.438
"Horacio Rodriguez Larreta","Negativa",0.434,0.46,0.41,0.417,0.478,0.419,0.36,0.42,0.45,0.425,0.46,0.368,0.438,0.677,0.23,0.175
"Horacio Rodriguez Larreta","No sabe",0.018,0.009,0.026,0.04,0.001,0.034,0.011,0.02,0.022,0.01,0.007,0.017,0.026,0.027,0.003,0.01
"CFK","Positiva",0.334,0.33,0.337,0.26,0.359,0.348,0.332,0.336,0.378,0.269,0.38,0.257,0.324,0.656,0.146,0.032
"CFK","Neutra",0.086,0.078,0.093,0.179,0.061,0.085,0.046,0.101,0.088,0.066,0.072,0.11,0.088,0.05,0.094,0.161
"CFK","Negativa",0.567,0.586,0.551,0.528,0.578,0.562,0.593,0.551,0.514,0.661,0.538,0.633,0.569,0.293,0.754,0.807
"CFK","No sabe",0.013,0.006,0.019,0.033,0.002,0.005,0.029,0.012,0.02,0.004,0.01,0,0.019,0.001,0.006,0
"Mauricio Macri","Positiva",0.315,0.358,0.277,0.386,0.23,0.334,0.431,0.327,0.299,0.326,0.301,0.324,0.324,0.117,0.552,0.032
"Mauricio Macri","Neutra",0.175,0.196,0.155,0.206,0.154,0.178,0.19,0.213,0.17,0.143,0.226,0.121,0.153,0.108,0.195,0.13
"Mauricio Macri","Negativa",0.498,0.443,0.548,0.374,0.611,0.488,0.357,0.448,0.514,0.527,0.466,0.555,0.504,0.758,0.25,0.838
"Mauricio Macri","No sabe",0.012,0.003,0.02,0.034,0.005,0,0.022,0.012,0.017,0.004,0.007,0,0.019,0.017,0.003,0
"Sergio Massa","Positiva",0.307,0.295,0.319,0.24,0.356,0.264,0.321,0.318,0.352,0.232,0.375,0.304,0.254,0.49,0.194,0.373
"Sergio Massa","Neutra",0.166,0.185,0.149,0.208,0.173,0.146,0.134,0.132,0.183,0.178,0.144,0.179,0.18,0.215,0.123,0.103
"Sergio Massa","Negativa",0.521,0.517,0.524,0.552,0.462,0.583,0.545,0.547,0.46,0.58,0.477,0.517,0.557,0.292,0.679,0.524
"Sergio Massa","No sabe",0.006,0.003,0.008,0,0.009,0.007,0,0.003,0.005,0.01,0.004,0,0.009,0.003,0.004,0
"Malena Galmarini","Positiva",0.295,0.287,0.303,0.24,0.325,0.262,0.333,0.282,0.342,0.239,0.331,0.222,0.292,0.437,0.204,0.288
"Malena Galmarini","Neutra",0.21,0.215,0.206,0.2,0.247,0.184,0.164,0.269,0.194,0.171,0.201,0.322,0.177,0.254,0.185,0.193
"Malena Galmarini","Negativa",0.416,0.436,0.397,0.408,0.352,0.517,0.446,0.379,0.352,0.552,0.427,0.387,0.418,0.227,0.558,0.401
"Malena Galmarini","No sabe",0.079,0.062,0.094,0.152,0.076,0.037,0.057,0.07,0.112,0.038,0.041,0.069,0.113,0.082,0.053,0.118
"Javier Milei","Positiva",0.292,0.337,0.251,0.333,0.293,0.287,0.25,0.306,0.259,0.324,0.285,0.277,0.303,0.148,0.388,0.261
"Javier Milei","Neutra",0.235,0.224,0.245,0.291,0.201,0.247,0.242,0.29,0.192,0.239,0.214,0.202,0.264,0.147,0.285,0.384
"Javier Milei","Negativa",0.424,0.428,0.421,0.306,0.476,0.422,0.424,0.335,0.491,0.422,0.448,0.467,0.389,0.658,0.269,0.355
"Javier Milei","No sabe",0.049,0.011,0.083,0.07,0.03,0.044,0.084,0.069,0.058,0.015,0.053,0.054,0.044,0.047,0.058,0
"Alberto Fernandez","Positiva",0.205,0.179,0.229,0.154,0.198,0.224,0.253,0.186,0.264,0.14,0.187,0.201,0.222,0.348,0.118,0.104
"Alberto Fernandez","Neutra",0.188,0.194,0.183,0.222,0.233,0.126,0.127,0.191,0.174,0.207,0.23,0.121,0.178,0.281,0.107,0.304
"Alberto Fernandez","Negativa",0.592,0.622,0.565,0.59,0.565,0.626,0.612,0.61,0.557,0.622,0.561,0.657,0.593,0.349,0.766,0.568
"Alberto Fernandez","No sabe",0.015,0.005,0.023,0.034,0.004,0.024,0.008,0.013,0.005,0.031,0.022,0.021,0.007,0.022,0.009,0.024
"Nicolás Massot","Positiva",0.204,0.234,0.175,0.229,0.172,0.202,0.265,0.252,0.173,0.2,0.23,0.173,0.192,0.169,0.268,0.25
"Nicolás Massot","Neutra",0.341,0.364,0.319,0.3,0.379,0.35,0.273,0.305,0.348,0.37,0.369,0.4,0.297,0.309,0.397,0.341
"Nicolás Massot","Negativa",0.209,0.22,0.199,0.218,0.234,0.204,0.137,0.181,0.2,0.254,0.173,0.212,0.24,0.285,0.125,0.133
"Nicolás Massot","No sabe",0.246,0.182,0.307,0.253,0.215,0.244,0.325,0.262,0.279,0.176,0.228,0.215,0.271,0.237,0.21,0.276
"Juan Laborde Rodríguez","Positiva",0.109,0.119,0.099,0.117,0.115,0.094,0.104,0.143,0.121,0.052,0.115,0.082,0.112,0.087,0.122,0.202
"Juan Laborde Rodríguez","Neutra",0.343,0.34,0.345,0.382,0.35,0.333,0.287,0.294,0.336,0.405,0.368,0.413,0.298,0.342,0.364,0.295
"Juan Laborde Rodríguez","Negativa",0.172,0.196,0.149,0.219,0.185,0.148,0.113,0.201,0.167,0.15,0.15,0.151,0.198,0.165,0.14,0.221
"Juan Laborde Rodríguez","No sabe",0.376,0.345,0.407,0.282,0.35,0.425,0.496,0.362,0.376,0.393,0.367,0.354,0.392,0.406,0.374,0.282
