"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"Seguro lo votaria",0.213,0.233,0.199,0.107,0.29,0.191,0.194,0.285,0.224,0.146,0.169,0.319,0.199,0.071,0.2,0
"Quizás lo votaría",0.364,0.341,0.381,0.399,0.367,0.43,0.228,0.395,0.319,0.397,0.428,0.477,0.264,0.338,0.401,0.804
"Nunca lo votaría",0.423,0.426,0.42,0.494,0.343,0.379,0.578,0.32,0.457,0.457,0.403,0.204,0.537,0.591,0.399,0.196
