"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"Frente de Todos y el peronismo",0.355,0.316,0.39,0.291,0.433,0.336,0.251,0.324,0.414,0.302,0.369,0.373,0.337,0.676,0.16,0.275
"Cambiemos",0.283,0.288,0.28,0.264,0.207,0.38,0.363,0.275,0.231,0.37,0.274,0.308,0.283,0.11,0.484,0.172
"Liberales Libertarios",0.189,0.223,0.158,0.295,0.187,0.154,0.126,0.214,0.168,0.192,0.169,0.209,0.198,0.092,0.188,0.341
"Izquierda",0.036,0.027,0.044,0,0.04,0.037,0.062,0.037,0.029,0.044,0.048,0.035,0.026,0.045,0.026,0
"No sabe",0.137,0.146,0.128,0.15,0.133,0.093,0.198,0.15,0.158,0.092,0.14,0.075,0.156,0.077,0.142,0.212
