"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"A Julio Zamora por el Frente de Todos",0.384,0.4,0.369,0.368,0.419,0.337,0.381,0.424,0.39,0.327,0.408,0.333,0.381,0.636,0.215,0.451
"A Segundo Cernadas por Cambiemos",0.315,0.273,0.355,0.258,0.268,0.412,0.39,0.263,0.353,0.317,0.316,0.245,0.34,0.13,0.5,0.271
"Al candidato de los liberales libertarios",0.146,0.195,0.1,0.177,0.17,0.097,0.107,0.198,0.088,0.178,0.14,0.172,0.142,0.092,0.165,0.121
"A Paula Akerfeld por el Frente de Izquierda",0.045,0.035,0.055,0.056,0.035,0.051,0.048,0.061,0.033,0.046,0.04,0.08,0.037,0.038,0.035,0.037
"No sabe",0.11,0.097,0.121,0.141,0.108,0.103,0.074,0.054,0.136,0.132,0.096,0.17,0.1,0.104,0.085,0.12
