"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"A Horacio Rodriguez Larreta",0.336,0.327,0.342,0.369,0.341,0.383,0.226,0.492,0.303,0.258,0.348,0.354,0.318,0.305,0.321,0.613
"A Mauricio Macri",0.313,0.285,0.334,0.093,0.299,0.346,0.479,0.242,0.388,0.271,0.366,0.315,0.272,0.172,0.372,0.284
"A Patricia Bullrich",0.259,0.332,0.203,0.467,0.206,0.225,0.229,0.178,0.242,0.342,0.202,0.259,0.301,0.425,0.236,0
"A Facundo Manes",0.06,0.022,0.09,0.071,0.097,0.036,0.017,0.019,0.067,0.084,0.08,0.035,0.057,0.012,0.051,0
"A Gerardo Morales",0.032,0.034,0.031,0,0.057,0.01,0.049,0.069,0,0.045,0.004,0.037,0.052,0.086,0.02,0.103
