clave	texto
encuesta_especial	Posicionamiento Político y Preferencias Electorales: Elecciones Presidenciales y a Gobernador - Entre Ríos
bajada_encuesta_especial	Encuesta Sincrónica
bajada_encuesta_especial_fecha	27/09/2023
ficha_Población objeto de estudio	Población mayor de 16 años.
ficha_Unidad de muestreo	Télefonos celulares de empresas Personal, Movistar y Claro, complementados con un 13% de teléfonos fijos para optimizar cobertura geográfica.
ficha_Ámbito	Provincia de Entre Ríos
ficha_Estratificación	Seis estratos geográficos: Zona 1 - Paraná y Diamante; Zona 2 - Concordia, San Salvador y Federación; Zona 3 - Gualeguaychú e Ibicuy; Zona 4 - Concepción del Uruguay y Colón; Zona 5 - Villaguay, Federal, Feliciano y La Paz; Zona 6 - Victoria, Gualeguay, Nogoyá y Tala.
ficha_Técnicas de recolección de información	ES - Encuesta Sincrónica (IVR) a teléfonos móviles y fijos
ficha_Diseño muestral	Aleatorio simple
ficha_Tamaño muestral	La captura de datos se llevó a cabo del 25/09/2023 al 27/09/2023 abarcando 1.094 casos efectivos.
ficha_Calibración de la muestra	En función de datos paramétricos censales de sexo, edad y nivel educativo.
ficha_Margen de error	+/- 2.96 %
