"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Victoria Tolosa Paz para diputada nacional y Walter Enrique Acuña para concejal por el “Frente de todos”",0.363,0.385,0.342,0.339,0.361,0.427,0.333,0.424,0.33,0.302,0.525,0.104,0
"Diego Santilli para diputado nacional y Guido Giana para concejal por “Juntos”",0.14,0.099,0.18,0.085,0.126,0.201,0.27,0.132,0.12,0.227,0.065,0.448,0.063
"Facundo Manes para diputado nacional y Ruben Eduardo Mobilio para concejal por “Juntos”",0.065,0.098,0.032,0.041,0.059,0.138,0.022,0.028,0.083,0.109,0.019,0.153,0.526
"Florencio Randazzo para diputado nacional y Maico Müller para concejal por “Vamos con vos”",0.055,0.075,0.035,0.035,0.083,0.049,0.007,0.055,0.058,0.044,0.044,0.027,0.411
"A la lista de Anibal Regueiro para concejal por “Peronenses Primero”",0.076,0.065,0.088,0.067,0.059,0.046,0.249,0.077,0.085,0.045,0.11,0.019,0
"A la lista de José Luis Espert para diputado nacional por “Avanza Libertad”",0.035,0.06,0.01,0.067,0.019,0.032,0,0.005,0.055,0.051,0.023,0.072,0
"A los candidatos de la izquierda",0.024,0.037,0.011,0.043,0.017,0.004,0.028,0.024,0.014,0.056,0.027,0.005,0
"Otros Candidatos",0.071,0.042,0.1,0.075,0.095,0.033,0.026,0.09,0.071,0.02,0.047,0.083,0
"En blanco o anularía",0.115,0.092,0.137,0.229,0.085,0.022,0.04,0.085,0.15,0.084,0.079,0.075,0
"Cortaría Boleta",0.056,0.047,0.065,0.019,0.096,0.048,0.025,0.08,0.034,0.062,0.061,0.014,0
