"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto"
"A Santilli y Manes por Juntos",0.423,0.375,0.47,0.37,0.391,0.482,0.533,0.403,0.38,0.527
"A Tolosa Paz por el Frente de Todos",0.332,0.307,0.355,0.229,0.377,0.354,0.329,0.355,0.359,0.252
"A del Caño por el Frente de Izquierda",0.031,0.039,0.024,0.029,0.04,0.022,0.021,0.042,0.031,0.019
"A Espert por Avanza libertad",0.083,0.117,0.049,0.176,0.071,0.039,0.023,0.052,0.094,0.099
"A Randazzo ""Vamos con vos""",0.033,0.043,0.023,0.032,0.026,0.03,0.061,0.031,0.035,0.031
"Votaría en blanco o anularía",0.098,0.119,0.079,0.164,0.095,0.073,0.033,0.117,0.101,0.072
