"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto"
"Si",0.876,0.894,0.858,0.825,0.866,0.918,0.917,0.837,0.869,0.932
"Puede ser",0.075,0.044,0.106,0.069,0.091,0.064,0.052,0.123,0.058,0.049
"No",0.049,0.062,0.036,0.106,0.043,0.018,0.031,0.04,0.073,0.019
