"var","categoria","Si","Puede ser","No"
"P06","A Santilli y Manes por Juntos",0.479,0.199,0.217
"P06","A Tolosa Paz por el Frente de Todos",0.335,0.373,0.013
"P06","A del Caño por el Frente de Izquierda",0.023,0.033,0.078
"P06","A Espert por Avanza libertad",0.083,0.129,0.01
"P06","A Randazzo ""Vamos con vos""",0.037,0.041,0.017
"P06","Votaría en blanco o anularía",0.043,0.225,0.665
"P08","A Segundo cernadas por Juntos",0.446,0.175,0.17
"P08","A Gisela Zamora por el frente de todos",0.384,0.538,0.028
"P08","A Juan José Cervetto por avanza libertad",0.064,0.071,0.013
"P08","A Paula Yamila Akerfeld por el Frente de Izquierda",0.028,0.079,0.016
"P08","A Matias Orfo por Vamos con vos",0.01,0,0.002
"P08","A Nicolás Viera Dutra por el Partido Unión Celeste y Blanco",0.018,0.019,0.22
"P08","En blanco o anularía",0.05,0.118,0.551
"P10","Victoria Tolosa Paz por el frente de todos",0.338,0.261,0.111
"P10","Santilli dentro de la interna de Juntos",0.326,0.239,0.038
"P10","Manes dentro de la interna de juntos",0.118,0.072,0.022
"P10","Espert por avanza libertad",0.072,0.077,0.091
"P10","A los candidatos de la izquierda",0.005,0.004,0.026
"P10","Randazzo por Vamos con vos",0.037,0.041,0.121
"P10","Otra lista",0.043,0.046,0.088
"P10","Votó en blanco o anuló",0.028,0.094,0.323
"P10","No fue a votar",0.033,0.166,0.18
"P12","Gisela Zamora por el frente de todos",0.357,0.352,0.028
"P12","Segundo cernadas dentro de la interna Juntos",0.331,0.138,0.119
"P12","Nicolas Massot dentro de la interna por juntos",0.093,0.085,0
"P12","A los candidatos de avanza libertad",0.062,0.075,0
"P12","A los candidatos de vamos con vos",0.023,0.004,0.002
"P12","A los candidatos de la izquierda",0.03,0,0.266
"P12","A los candidatos de unión celeste y blanco",0.017,0.015,0.057
"P12","Otra lista",0.035,0.042,0.015
"P12","Votó en blanco o anuló",0.031,0.056,0.324
"P12","No fue a votar",0.021,0.233,0.189
"P15","Muy buena",0.24,0.152,0.067
"P15","Buena",0.12,0.335,0.1
"P15","Ni buena ni mala",0.083,0.218,0.236
"P15","Mala",0.119,0.087,0.149
"P15","Muy mala",0.422,0.208,0.307
"P15","No sabe",0.016,0,0.141
"P16","Muy buena",0.286,0.284,0.124
"P16","Buena",0.053,0.191,0.018
"P16","Ni buena ni mala",0.052,0.132,0.222
"P16","Mala",0.059,0.108,0.068
"P16","Muy mala",0.546,0.235,0.432
"P16","No sabe",0.004,0.05,0.136
"P17","Muy buena",0.143,0.147,0.103
"P17","Buena",0.11,0.247,0.057
"P17","Ni buena ni mala",0.145,0.263,0.35
"P17","Mala",0.124,0.067,0.037
"P17","Muy mala",0.464,0.23,0.32
"P17","No sabe",0.014,0.046,0.133
"P18","Muy buena",0.139,0.049,0.002
"P18","Buena",0.112,0.096,0.172
"P18","Ni buena ni mala",0.194,0.251,0.112
"P18","Mala",0.164,0.139,0.101
"P18","Muy mala",0.384,0.4,0.525
"P18","No sabe",0.007,0.065,0.088
"P19","Muy buena",0.286,0.069,0.208
"P19","Buena",0.157,0.278,0.101
"P19","Ni buena ni mala",0.177,0.322,0.229
"P19","Mala",0.107,0.036,0.159
"P19","Muy mala",0.254,0.213,0.153
"P19","No sabe",0.019,0.082,0.15
