"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto"
"Horacio Rodriguez Larreta","Muy buena",0.269,0.204,0.33,0.22,0.263,0.259,0.367,0.241,0.249,0.328
"Horacio Rodriguez Larreta","Buena",0.167,0.187,0.148,0.11,0.184,0.201,0.132,0.176,0.134,0.207
"Horacio Rodriguez Larreta","Ni buena ni mala",0.189,0.21,0.169,0.222,0.176,0.193,0.176,0.223,0.195,0.143
"Horacio Rodriguez Larreta","Mala",0.101,0.125,0.079,0.089,0.103,0.083,0.145,0.077,0.111,0.114
"Horacio Rodriguez Larreta","Muy mala",0.25,0.265,0.236,0.311,0.26,0.242,0.153,0.249,0.28,0.206
"Horacio Rodriguez Larreta","No sabe",0.024,0.009,0.038,0.048,0.014,0.022,0.027,0.034,0.031,0.002
"Alberto Fernandez","Muy buena",0.233,0.21,0.255,0.194,0.254,0.224,0.235,0.315,0.235,0.14
"Alberto Fernandez","Buena",0.137,0.145,0.129,0.136,0.148,0.129,0.118,0.117,0.167,0.11
"Alberto Fernandez","Ni buena ni mala",0.094,0.077,0.109,0.076,0.098,0.098,0.095,0.103,0.096,0.08
"Alberto Fernandez","Mala",0.116,0.122,0.111,0.046,0.135,0.136,0.122,0.158,0.098,0.1
"Alberto Fernandez","Muy mala",0.405,0.433,0.38,0.525,0.357,0.399,0.407,0.29,0.385,0.564
"Alberto Fernandez","No sabe",0.015,0.013,0.016,0.023,0.008,0.014,0.023,0.017,0.019,0.006
"CFK","Muy buena",0.286,0.281,0.29,0.263,0.301,0.293,0.257,0.32,0.315,0.203
"CFK","Buena",0.064,0.061,0.067,0.074,0.067,0.053,0.061,0.051,0.089,0.039
"CFK","Ni buena ni mala",0.058,0.044,0.072,0.03,0.073,0.057,0.052,0.105,0.043,0.03
"CFK","Mala",0.063,0.067,0.059,0.039,0.067,0.074,0.064,0.099,0.048,0.046
"CFK","Muy mala",0.521,0.545,0.499,0.576,0.485,0.52,0.564,0.425,0.499,0.663
"CFK","No sabe",0.008,0.002,0.013,0.018,0.007,0.003,0.002,0,0.006,0.019
"Sergio Massa","Muy buena",0.144,0.131,0.155,0.163,0.135,0.122,0.18,0.198,0.153,0.068
"Sergio Massa","Buena",0.121,0.126,0.116,0.053,0.149,0.135,0.101,0.115,0.132,0.111
"Sergio Massa","Ni buena ni mala",0.154,0.151,0.157,0.102,0.201,0.126,0.122,0.191,0.167,0.094
"Sergio Massa","Mala",0.119,0.124,0.114,0.148,0.12,0.101,0.107,0.083,0.112,0.17
"Sergio Massa","Muy mala",0.445,0.466,0.426,0.508,0.385,0.492,0.474,0.381,0.422,0.552
"Sergio Massa","No sabe",0.017,0.002,0.032,0.026,0.01,0.024,0.016,0.032,0.014,0.005
"Mauricio Macri","Muy buena",0.132,0.11,0.153,0.153,0.124,0.137,0.117,0.091,0.147,0.152
"Mauricio Macri","Buena",0.111,0.103,0.119,0.122,0.087,0.127,0.148,0.095,0.093,0.156
"Mauricio Macri","Ni buena ni mala",0.198,0.18,0.215,0.133,0.204,0.241,0.196,0.245,0.161,0.204
"Mauricio Macri","Mala",0.162,0.185,0.14,0.123,0.168,0.125,0.257,0.185,0.154,0.149
"Mauricio Macri","Muy mala",0.385,0.411,0.36,0.445,0.411,0.351,0.277,0.356,0.439,0.335
"Mauricio Macri","No sabe",0.012,0.011,0.013,0.024,0.006,0.019,0.005,0.028,0.006,0.004
