"var","categoria","A Segundo cernadas por Juntos","A Gisela Zamora por el frente de todos","A Juan José Cervetto por avanza libertad","A Paula Yamila Akerfeld por el Frente de Izquierda","A Matias Orfo por Vamos con vos","A Nicolás Viera Dutra por el Partido Unión Celeste y Blanco","En blanco o anularía"
"P06","A Santilli y Manes por Juntos",0.853,0.115,0.094,0.025,0.452,0.129,0.219
"P06","A Tolosa Paz por el Frente de Todos",0.048,0.779,0.073,0.163,0.032,0.028,0.022
"P06","A del Caño por el Frente de Izquierda",0.012,0.018,0.057,0.369,0.146,0.062,0.032
"P06","A Espert por Avanza libertad",0.051,0.012,0.724,0.317,0,0.073,0.042
"P06","A Randazzo ""Vamos con vos""",0.017,0.039,0.013,0.067,0.37,0.07,0.038
"P06","Votaría en blanco o anularía",0.019,0.037,0.039,0.059,0,0.638,0.647
"P10","Victoria Tolosa Paz por el frente de todos",0.075,0.703,0.081,0.297,0.065,0.028,0.086
"P10","Santilli dentro de la interna de Juntos",0.594,0.138,0.069,0,0.238,0.043,0.04
"P10","Manes dentro de la interna de juntos",0.175,0.031,0.069,0.089,0.213,0.095,0.124
"P10","Espert por avanza libertad",0.045,0.01,0.584,0.305,0,0.213,0.008
"P10","A los candidatos de la izquierda",0,0.002,0.017,0.087,0.015,0.006,0.009
"P10","Randazzo por Vamos con vos",0.013,0.033,0.027,0.031,0.437,0.353,0.066
"P10","Otra lista",0.039,0.014,0.009,0.051,0,0.052,0.243
"P10","Votó en blanco o anuló",0.023,0.026,0.109,0.065,0,0.188,0.258
"P10","No fue a votar",0.036,0.043,0.035,0.075,0.032,0.022,0.166
"P12","Gisela Zamora por el frente de todos",0.08,0.773,0.036,0.21,0.052,0.078,0.055
"P12","Segundo cernadas dentro de la interna Juntos",0.634,0.069,0.035,0.014,0.159,0.062,0.162
"P12","Nicolas Massot dentro de la interna por juntos",0.146,0.034,0.14,0.013,0.156,0,0.047
"P12","A los candidatos de avanza libertad",0.022,0.014,0.639,0.152,0,0,0.009
"P12","A los candidatos de vamos con vos",0.006,0.013,0.07,0.009,0.59,0.03,0.021
"P12","A los candidatos de la izquierda",0.004,0.012,0.018,0.392,0.008,0.648,0.013
"P12","A los candidatos de unión celeste y blanco",0.012,0.015,0,0.065,0,0.022,0.059
"P12","Otra lista",0.039,0.015,0.041,0.015,0,0.064,0.118
"P12","Votó en blanco o anuló",0.021,0.008,0.016,0.067,0,0.068,0.404
"P12","No fue a votar",0.036,0.047,0.005,0.063,0.035,0.028,0.112
"P14","Si",0.948,0.889,0.904,0.784,0.991,0.568,0.552
"P14","Puede ser",0.032,0.107,0.086,0.191,0,0.05,0.111
"P14","No",0.02,0.004,0.01,0.025,0.009,0.382,0.337
"P15","Muy buena",0.072,0.489,0.079,0.005,0.096,0,0.057
"P15","Buena",0.026,0.272,0.015,0.355,0.042,0.052,0.095
"P15","Ni buena ni mala",0.043,0.132,0.022,0.151,0.202,0.122,0.273
"P15","Mala",0.163,0.056,0.122,0.219,0.04,0.142,0.139
"P15","Muy mala",0.684,0.039,0.681,0.27,0.62,0.684,0.356
"P15","No sabe",0.012,0.012,0.081,0,0,0,0.08
"P16","Muy buena",0.044,0.635,0.06,0.192,0.183,0.139,0.047
"P16","Buena",0.005,0.141,0,0.09,0.061,0.061,0.016
"P16","Ni buena ni mala",0.029,0.08,0.022,0.073,0.058,0.066,0.229
"P16","Mala",0.067,0.043,0.029,0.298,0,0.028,0.097
"P16","Muy mala",0.85,0.093,0.868,0.347,0.698,0.684,0.529
"P16","No sabe",0.005,0.008,0.021,0,0,0.022,0.082
"P17","Muy buena",0.019,0.325,0.016,0.018,0.059,0.08,0.081
"P17","Buena",0.027,0.269,0.02,0.033,0.05,0.029,0.02
"P17","Ni buena ni mala",0.097,0.226,0.079,0.248,0.009,0.223,0.244
"P17","Mala",0.12,0.081,0.216,0.335,0.26,0.11,0.077
"P17","Muy mala",0.716,0.081,0.664,0.355,0.622,0.555,0.496
"P17","No sabe",0.021,0.018,0.005,0.011,0,0.003,0.082
"P18","Muy buena",0.222,0.042,0.085,0.003,0.102,0.06,0.124
"P18","Buena",0.21,0.031,0.06,0.065,0.081,0.049,0.099
"P18","Ni buena ni mala",0.313,0.043,0.204,0.24,0.09,0.211,0.28
"P18","Mala",0.117,0.199,0.245,0.169,0.326,0.096,0.121
"P18","Muy mala",0.121,0.674,0.406,0.523,0.401,0.581,0.323
"P18","No sabe",0.017,0.011,0,0,0,0.003,0.053
"P19","Muy buena",0.519,0.066,0.155,0.013,0.184,0.02,0.144
"P19","Buena",0.231,0.081,0.116,0.015,0.379,0.08,0.302
"P19","Ni buena ni mala",0.16,0.19,0.213,0.293,0.139,0.124,0.328
"P19","Mala",0.019,0.17,0.18,0.191,0.148,0.278,0.086
"P19","Muy mala",0.06,0.45,0.331,0.488,0.15,0.437,0.047
"P19","No sabe",0.011,0.043,0.005,0,0,0.061,0.093
