"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Los políticos son todos ladrones y corruptos",0.276,0.309,0.245,0.318,0.284,0.265,0.197,0.343,0.247,0.233,0.281,0.288,0.348,0.254,0.216,0.3,0.258
"Los políticos sólo piensan en ellos y no en los problemas de la gente",0.204,0.187,0.221,0.202,0.194,0.199,0.24,0.225,0.213,0.163,0.219,0.181,0.147,0.211,0.187,0.203,0.274
"Algunos políticos son corruptos, ladrones y no piensan en la gente, pero otros no",0.287,0.296,0.278,0.282,0.265,0.313,0.312,0.231,0.302,0.335,0.281,0.333,0.198,0.283,0.236,0.36,0.243
"Los políticos tratan de solucionar los problemas de la gente, pero necesitan pelearse menos y que los controlen",0.129,0.111,0.145,0.095,0.14,0.135,0.152,0.123,0.14,0.118,0.106,0.122,0.138,0.151,0.182,0.096,0.124
"Los políticos representan distintos intereses y por eso deben obtener siempre el mayor apoyo posible para lograr sus objetivos",0.063,0.057,0.07,0.043,0.075,0.064,0.07,0.037,0.063,0.1,0.069,0.034,0.114,0.065,0.122,0.023,0.04
"No sabe",0.041,0.04,0.041,0.06,0.042,0.024,0.029,0.041,0.035,0.051,0.044,0.042,0.055,0.036,0.057,0.018,0.061
