"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"La política no sirve para nada",0.165,0.187,0.144,0.135,0.169,0.195,0.164,0.196,0.161,0.129,0.166,0.161,0.182,0.163,0.097,0.206,0.22
"La política no me interesa",0.118,0.127,0.11,0.14,0.116,0.101,0.109,0.141,0.133,0.064,0.107,0.147,0.066,0.121,0.132,0.106,0.083
"La política me interesa poco",0.133,0.13,0.137,0.163,0.139,0.105,0.107,0.162,0.142,0.08,0.12,0.153,0.165,0.13,0.132,0.139,0.084
"La política me interesa",0.217,0.19,0.241,0.198,0.204,0.23,0.261,0.161,0.236,0.26,0.238,0.191,0.161,0.219,0.193,0.266,0.291
"La política es muy importante",0.312,0.328,0.297,0.283,0.329,0.327,0.298,0.257,0.285,0.428,0.306,0.294,0.344,0.321,0.4,0.249,0.268
"No sabe",0.055,0.038,0.071,0.081,0.043,0.042,0.061,0.083,0.043,0.039,0.063,0.054,0.082,0.046,0.046,0.034,0.054
