clase,Todos,Hombres,Mujeres,16-29 años,30-49 años,50-64 años,65+ años,Hasta primario completo,Secundario completo/incompleto,Terciario completo/incompleto,Centro,Norte,Sur,Buenos Aires,Fernandez,Macri,Lavagna
Siempre,0.096,0.096,0.095,0.109,0.091,0.083,0.103,0.105,0.072,0.122,0.069,0.149,0.077,0.096,0.13,0.075,0.05
A veces,0.219,0.205,0.233,0.163,0.235,0.251,0.232,0.196,0.221,0.247,0.238,0.247,0.266,0.184,0.285,0.187,0.232
Nunca,0.623,0.644,0.603,0.666,0.63,0.607,0.553,0.613,0.649,0.593,0.635,0.527,0.609,0.659,0.533,0.684,0.609
No sabe,0.062,0.055,0.069,0.062,0.044,0.059,0.112,0.086,0.058,0.038,0.058,0.077,0.048,0.061,0.052,0.054,0.109
