"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Muy de derecha",0.258,0.228,0.288,0.23,0.26,0.289,0.262,0.281,0.249,0.245,0.285,0.243,0.185,0.255,0.377,0.133,0.291
"De derecha",0.301,0.299,0.302,0.265,0.316,0.313,0.308,0.229,0.312,0.375,0.304,0.247,0.273,0.329,0.251,0.373,0.31
"De centro",0.209,0.215,0.203,0.174,0.204,0.227,0.254,0.191,0.215,0.223,0.209,0.217,0.219,0.203,0.103,0.32,0.222
"De centro izquierda",0.112,0.143,0.083,0.181,0.102,0.069,0.08,0.145,0.104,0.081,0.129,0.097,0.14,0.1,0.145,0.085,0.107
"Muy de izquierda",0.12,0.115,0.124,0.15,0.118,0.102,0.096,0.154,0.12,0.076,0.073,0.196,0.183,0.113,0.124,0.089,0.07
