"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.135,0.152,0.117,0.151,0.115,0.146,0.158,0.181,0.106,0.137,0.149,0.082,0.344,0.247,0.048,0.145,0.111,0.147,6
"Buena",0.165,0.157,0.173,0.14,0.171,0.156,0.186,0.191,0.143,0.173,0.198,0.097,0.289,0.274,0.08,0.158,0.172,0.166,6
"Ni buena ni mala",0.279,0.265,0.295,0.274,0.275,0.273,0.306,0.272,0.302,0.256,0.348,0.208,0.243,0.271,0.271,0.264,0.3,0.278,6
"Mala",0.209,0.222,0.194,0.194,0.205,0.222,0.21,0.176,0.247,0.183,0.164,0.326,0.062,0.106,0.289,0.221,0.178,0.222,6
"Muy mala",0.17,0.163,0.178,0.16,0.205,0.157,0.107,0.135,0.154,0.219,0.098,0.257,0.057,0.071,0.273,0.163,0.195,0.155,6
"No sabe",0.042,0.041,0.043,0.081,0.029,0.046,0.033,0.045,0.048,0.032,0.043,0.03,0.005,0.031,0.039,0.049,0.044,0.032,6
"Positiva",0.3,0.309,0.29,0.291,0.286,0.302,0.344,0.372,0.249,0.31,0.347,0.179,0.633,0.521,0.128,0.303,0.283,0.313,4
"Neutra",0.279,0.265,0.295,0.274,0.275,0.273,0.306,0.272,0.302,0.256,0.348,0.208,0.243,0.271,0.271,0.264,0.3,0.278,4
"Negativa",0.379,0.385,0.372,0.354,0.41,0.379,0.317,0.311,0.401,0.402,0.262,0.583,0.119,0.177,0.562,0.384,0.373,0.377,4
"No sabe",0.042,0.041,0.043,0.081,0.029,0.046,0.033,0.045,0.048,0.032,0.043,0.03,0.005,0.031,0.039,0.049,0.044,0.032,4
