"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Aníbal Tortoriello","Muy buena",0.128,0.131,0.124,0.167,0.093,0.152,0.146,0.191,0.116,0.093,0.091,0.29,0.029,0.074,0.164,0.197,0.076,0.09
"Aníbal Tortoriello","Buena",0.159,0.167,0.152,0.112,0.13,0.197,0.219,0.152,0.157,0.167,0.135,0.3,0.064,0.095,0.231,0.162,0.141,0.174
"Aníbal Tortoriello","Ni buena ni mala",0.353,0.329,0.379,0.223,0.41,0.356,0.322,0.357,0.381,0.315,0.372,0.261,0.42,0.319,0.371,0.313,0.374,0.384
"Aníbal Tortoriello","Mala",0.175,0.189,0.16,0.181,0.191,0.145,0.174,0.145,0.178,0.194,0.208,0.086,0.248,0.251,0.103,0.186,0.171,0.165
"Aníbal Tortoriello","Muy mala",0.126,0.133,0.118,0.183,0.144,0.088,0.084,0.095,0.115,0.164,0.12,0.053,0.217,0.193,0.086,0.108,0.165,0.11
"Aníbal Tortoriello","No sabe",0.059,0.051,0.067,0.134,0.032,0.062,0.055,0.06,0.053,0.067,0.074,0.01,0.022,0.068,0.045,0.034,0.073,0.077
"Juan Schiaretti","Muy buena",0.078,0.078,0.079,0.145,0.06,0.07,0.079,0.118,0.063,0.068,0.088,0.115,0.057,0.048,0.098,0.085,0.071,0.077
"Juan Schiaretti","Buena",0.167,0.177,0.155,0.098,0.154,0.191,0.225,0.151,0.179,0.162,0.146,0.256,0.096,0.098,0.232,0.175,0.158,0.164
"Juan Schiaretti","Ni buena ni mala",0.386,0.381,0.391,0.327,0.401,0.403,0.371,0.393,0.409,0.349,0.401,0.41,0.321,0.324,0.445,0.402,0.367,0.384
"Juan Schiaretti","Mala",0.164,0.164,0.165,0.251,0.164,0.135,0.133,0.098,0.186,0.189,0.15,0.085,0.265,0.232,0.096,0.147,0.198,0.153
"Juan Schiaretti","Muy mala",0.161,0.163,0.159,0.128,0.189,0.154,0.127,0.181,0.119,0.2,0.178,0.087,0.24,0.266,0.08,0.152,0.163,0.17
"Juan Schiaretti","No sabe",0.044,0.037,0.051,0.051,0.032,0.047,0.065,0.059,0.044,0.032,0.037,0.047,0.021,0.032,0.049,0.039,0.043,0.052
"Alberto Weretilneck","Muy buena",0.131,0.109,0.154,0.186,0.093,0.138,0.168,0.211,0.12,0.081,0.24,0.082,0.062,0.164,0.108,0.163,0.101,0.118
"Alberto Weretilneck","Buena",0.196,0.207,0.184,0.141,0.197,0.178,0.274,0.208,0.19,0.194,0.295,0.129,0.183,0.303,0.106,0.183,0.206,0.204
"Alberto Weretilneck","Ni buena ni mala",0.308,0.292,0.324,0.273,0.311,0.325,0.304,0.304,0.317,0.299,0.307,0.232,0.303,0.298,0.305,0.295,0.334,0.297
"Alberto Weretilneck","Mala",0.221,0.24,0.201,0.215,0.238,0.231,0.163,0.191,0.231,0.232,0.104,0.326,0.278,0.146,0.284,0.216,0.215,0.233
"Alberto Weretilneck","Muy mala",0.13,0.133,0.128,0.151,0.146,0.126,0.077,0.061,0.129,0.187,0.051,0.222,0.144,0.085,0.185,0.126,0.14,0.127
"Alberto Weretilneck","No sabe",0.014,0.019,0.009,0.034,0.015,0.002,0.014,0.025,0.013,0.007,0.003,0.009,0.03,0.004,0.012,0.017,0.004,0.021
"María Emilia Soria","Muy buena",0.135,0.152,0.117,0.151,0.115,0.146,0.158,0.181,0.106,0.137,0.149,0.082,0.344,0.247,0.048,0.145,0.111,0.147
"María Emilia Soria","Buena",0.165,0.157,0.173,0.14,0.171,0.156,0.186,0.191,0.143,0.173,0.198,0.097,0.289,0.274,0.08,0.158,0.172,0.166
"María Emilia Soria","Ni buena ni mala",0.279,0.265,0.295,0.274,0.275,0.273,0.306,0.272,0.302,0.256,0.348,0.208,0.243,0.271,0.271,0.264,0.3,0.278
"María Emilia Soria","Mala",0.209,0.222,0.194,0.194,0.205,0.222,0.21,0.176,0.247,0.183,0.164,0.326,0.062,0.106,0.289,0.221,0.178,0.222
"María Emilia Soria","Muy mala",0.17,0.163,0.178,0.16,0.205,0.157,0.107,0.135,0.154,0.219,0.098,0.257,0.057,0.071,0.273,0.163,0.195,0.155
"María Emilia Soria","No sabe",0.042,0.041,0.043,0.081,0.029,0.046,0.033,0.045,0.048,0.032,0.043,0.03,0.005,0.031,0.039,0.049,0.044,0.032
"Victoria Villarruel","Muy buena",0.26,0.264,0.256,0.28,0.239,0.306,0.22,0.25,0.272,0.251,0.203,0.435,0.113,0.062,0.458,0.299,0.214,0.254
"Victoria Villarruel","Buena",0.146,0.143,0.149,0.141,0.129,0.138,0.211,0.155,0.15,0.135,0.112,0.257,0.06,0.031,0.243,0.162,0.117,0.155
"Victoria Villarruel","Ni buena ni mala",0.17,0.18,0.16,0.145,0.177,0.155,0.199,0.208,0.186,0.119,0.201,0.141,0.139,0.141,0.164,0.157,0.201,0.156
"Victoria Villarruel","Mala",0.118,0.11,0.127,0.12,0.113,0.12,0.129,0.116,0.122,0.115,0.149,0.034,0.158,0.192,0.047,0.125,0.106,0.123
"Victoria Villarruel","Muy mala",0.285,0.284,0.285,0.281,0.328,0.262,0.21,0.224,0.255,0.371,0.318,0.094,0.522,0.55,0.077,0.226,0.348,0.297
"Victoria Villarruel","No sabe",0.021,0.019,0.023,0.033,0.014,0.019,0.031,0.047,0.015,0.009,0.017,0.039,0.008,0.024,0.011,0.031,0.014,0.015
"Patricia Bullrich","Muy buena",0.197,0.183,0.212,0.213,0.156,0.228,0.243,0.199,0.205,0.186,0.178,0.327,0.081,0.055,0.322,0.21,0.199,0.179
"Patricia Bullrich","Buena",0.202,0.219,0.184,0.24,0.193,0.2,0.193,0.2,0.226,0.173,0.115,0.382,0.103,0.024,0.368,0.228,0.161,0.21
"Patricia Bullrich","Ni buena ni mala",0.128,0.138,0.117,0.152,0.133,0.117,0.106,0.154,0.117,0.12,0.144,0.112,0.109,0.08,0.155,0.143,0.1,0.136
"Patricia Bullrich","Mala",0.14,0.139,0.141,0.075,0.143,0.154,0.169,0.182,0.132,0.117,0.179,0.045,0.141,0.201,0.078,0.112,0.139,0.177
"Patricia Bullrich","Muy mala",0.325,0.316,0.335,0.317,0.368,0.297,0.265,0.252,0.313,0.398,0.382,0.118,0.558,0.636,0.075,0.297,0.391,0.295
"Patricia Bullrich","No sabe",0.008,0.005,0.011,0.003,0.007,0.004,0.024,0.013,0.007,0.006,0.002,0.016,0.008,0.004,0.002,0.01,0.01,0.003
"Javier Milei","Muy buena",0.27,0.289,0.25,0.301,0.264,0.285,0.235,0.277,0.282,0.249,0.233,0.407,0.134,0.075,0.453,0.282,0.244,0.282
