"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Gobierno nacional",0.319,0.314,0.325,0.334,0.323,0.295,0.329,0.327,0.307,0.33,0.449,0.126,0.442,0.581,0.134,0.309,0.34,0.315
"Gobierno provincial",0.487,0.516,0.457,0.433,0.506,0.541,0.417,0.418,0.499,0.54,0.325,0.735,0.423,0.272,0.68,0.488,0.49,0.482
"No sabe",0.194,0.17,0.218,0.233,0.171,0.164,0.254,0.255,0.194,0.13,0.226,0.139,0.135,0.147,0.186,0.203,0.17,0.203
