"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.26,0.264,0.256,0.28,0.239,0.306,0.22,0.25,0.272,0.251,0.203,0.435,0.113,0.062,0.458,0.299,0.214,0.254,6
"Buena",0.146,0.143,0.149,0.141,0.129,0.138,0.211,0.155,0.15,0.135,0.112,0.257,0.06,0.031,0.243,0.162,0.117,0.155,6
"Ni buena ni mala",0.17,0.18,0.16,0.145,0.177,0.155,0.199,0.208,0.186,0.119,0.201,0.141,0.139,0.141,0.164,0.157,0.201,0.156,6
"Mala",0.118,0.11,0.127,0.12,0.113,0.12,0.129,0.116,0.122,0.115,0.149,0.034,0.158,0.192,0.047,0.125,0.106,0.123,6
"Muy mala",0.285,0.284,0.285,0.281,0.328,0.262,0.21,0.224,0.255,0.371,0.318,0.094,0.522,0.55,0.077,0.226,0.348,0.297,6
"No sabe",0.021,0.019,0.023,0.033,0.014,0.019,0.031,0.047,0.015,0.009,0.017,0.039,0.008,0.024,0.011,0.031,0.014,0.015,6
"Positiva",0.406,0.407,0.405,0.421,0.368,0.444,0.431,0.405,0.422,0.386,0.315,0.692,0.173,0.093,0.701,0.461,0.331,0.409,4
"Neutra",0.17,0.18,0.16,0.145,0.177,0.155,0.199,0.208,0.186,0.119,0.201,0.141,0.139,0.141,0.164,0.157,0.201,0.156,4
"Negativa",0.403,0.394,0.412,0.401,0.441,0.382,0.339,0.34,0.377,0.486,0.467,0.128,0.68,0.742,0.124,0.351,0.454,0.42,4
"No sabe",0.021,0.019,0.023,0.033,0.014,0.019,0.031,0.047,0.015,0.009,0.017,0.039,0.008,0.024,0.011,0.031,0.014,0.015,4
