"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.119,0.095,0.144,0.163,0.093,0.122,0.142,0.173,0.105,0.093,0.165,0.042,0.19,0.239,0.024,0.111,0.132,0.115,6
"Buena",0.142,0.139,0.145,0.075,0.152,0.142,0.178,0.096,0.15,0.168,0.182,0.063,0.278,0.276,0.036,0.112,0.186,0.138,6
"Ni buena ni mala",0.195,0.206,0.183,0.213,0.226,0.144,0.178,0.226,0.202,0.161,0.226,0.139,0.228,0.27,0.123,0.181,0.228,0.179,6
"Mala",0.22,0.228,0.211,0.302,0.208,0.203,0.2,0.246,0.229,0.188,0.2,0.279,0.126,0.131,0.271,0.257,0.166,0.226,6
"Muy mala",0.321,0.325,0.317,0.244,0.321,0.385,0.288,0.251,0.314,0.385,0.226,0.476,0.178,0.082,0.545,0.335,0.286,0.338,6
"No sabe",0.003,0.007,0,0.003,0,0.004,0.014,0.008,0,0.005,0.001,0.001,0,0.002,0.001,0.004,0.002,0.004,6
"Positiva",0.261,0.234,0.289,0.238,0.245,0.264,0.32,0.269,0.255,0.261,0.347,0.105,0.468,0.515,0.06,0.223,0.318,0.253,4
"Neutra",0.195,0.206,0.183,0.213,0.226,0.144,0.178,0.226,0.202,0.161,0.226,0.139,0.228,0.27,0.123,0.181,0.228,0.179,4
"Negativa",0.541,0.553,0.528,0.546,0.529,0.588,0.488,0.497,0.543,0.573,0.426,0.755,0.304,0.213,0.816,0.592,0.452,0.564,4
"No sabe",0.003,0.007,0,0.003,0,0.004,0.014,0.008,0,0.005,0.001,0.001,0,0.002,0.001,0.004,0.002,0.004,4
