"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.055,0.042,0.069,0.152,0.04,0.026,0.047,0.136,0.034,0.018,0.073,0.054,0.079,0.066,0.054,0.082,0.043,0.032,6
"Buena",0.115,0.099,0.132,0.129,0.1,0.111,0.148,0.124,0.138,0.077,0.157,0.107,0.124,0.127,0.105,0.113,0.125,0.108,6
"Ni buena ni mala",0.305,0.317,0.292,0.206,0.291,0.342,0.378,0.271,0.319,0.314,0.353,0.27,0.284,0.302,0.302,0.345,0.254,0.304,6
"Mala",0.341,0.362,0.319,0.272,0.38,0.369,0.257,0.306,0.327,0.387,0.296,0.364,0.361,0.356,0.328,0.304,0.375,0.354,6
"Muy mala",0.145,0.131,0.16,0.177,0.161,0.121,0.113,0.111,0.14,0.179,0.082,0.176,0.125,0.109,0.176,0.135,0.156,0.147,6
"No sabe",0.039,0.049,0.028,0.064,0.028,0.031,0.057,0.052,0.042,0.025,0.039,0.029,0.027,0.04,0.035,0.021,0.047,0.055,6
"Positiva",0.17,0.141,0.201,0.281,0.14,0.137,0.195,0.26,0.172,0.095,0.23,0.161,0.203,0.193,0.159,0.195,0.168,0.14,4
"Neutra",0.305,0.317,0.292,0.206,0.291,0.342,0.378,0.271,0.319,0.314,0.353,0.27,0.284,0.302,0.302,0.345,0.254,0.304,4
"Negativa",0.486,0.493,0.479,0.449,0.541,0.49,0.37,0.417,0.467,0.566,0.378,0.54,0.486,0.465,0.504,0.439,0.531,0.501,4
"No sabe",0.039,0.049,0.028,0.064,0.028,0.031,0.057,0.052,0.042,0.025,0.039,0.029,0.027,0.04,0.035,0.021,0.047,0.055,4
