"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior"
"Sergio Massa por el Frente de todos",0.344,0.325,0.364,0.313,0.333,0.356,0.4,0.42,0.318,0.29,0.623,0.052,0.109,0.362,0.303
"Facundo Manes por Cambiemos",0.344,0.327,0.362,0.277,0.332,0.362,0.448,0.295,0.334,0.425,0.127,0.683,0.233,0.315,0.414
"Florencio Randazzo",0.118,0.129,0.106,0.1,0.116,0.169,0.074,0.114,0.133,0.097,0.146,0.063,0.221,0.116,0.121
"Espert por los liberales",0.112,0.14,0.082,0.192,0.121,0.073,0.025,0.096,0.119,0.119,0.044,0.152,0.267,0.117,0.098
"Del Caño por el Frente de Izquierda",0.082,0.079,0.086,0.118,0.098,0.04,0.053,0.075,0.096,0.069,0.06,0.05,0.17,0.09,0.064
