"var","categoria","Si","Puede ser","No"
"P09","Sergio Massa por el Frente de todos",0.413,0.318,0.158
"P09","Jorge Macri por Cambiemos",0.331,0.369,0.318
"P09","Florencio Randazzo",0.1,0.134,0.206
"P09","Espert por los liberales",0.08,0.1,0.084
"P09","Del Caño por el Frente de Izquierda",0.076,0.079,0.234
"P11","Maximo Kirchner por el Frente de todos",0.43,0.288,0.107
"P11","Facundo Manes por Cambiemos",0.32,0.363,0.24
"P11","Florencio Randazzo",0.103,0.175,0.162
"P11","Espert por los liberales",0.093,0.073,0.179
"P11","Del Caño por el Frente de Izquierda",0.054,0.101,0.312
"P13","Sergio Massa por el Frente de todos",0.369,0.38,0.048
"P13","Facundo Manes por Cambiemos",0.347,0.301,0.363
"P13","Florencio Randazzo",0.111,0.144,0.156
"P13","Espert por los liberales",0.109,0.081,0.167
"P13","Del Caño por el Frente de Izquierda",0.064,0.094,0.266
"P15","Maximo Kirchner por el Frente de todos",0.397,0.423,0.044
"P15","Jorge Macri por Cambiemos",0.34,0.303,0.38
"P15","Florencio Randazzo",0.099,0.101,0.171
"P15","Espert por los liberales",0.097,0.085,0.159
"P15","Del Caño por el Frente de Izquierda",0.067,0.088,0.246
