"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior"
"Si",0.812,0.848,0.775,0.828,0.797,0.839,0.786,0.794,0.807,0.846,0.858,0.805,0.768,0.801,0.838
"Puede ser",0.102,0.084,0.12,0.064,0.11,0.088,0.16,0.11,0.108,0.079,0.082,0.095,0.137,0.123,0.052
"No",0.086,0.068,0.105,0.108,0.093,0.073,0.054,0.096,0.085,0.075,0.06,0.1,0.095,0.076,0.11
