clave	texto
encuesta_especial	Preferencias electorales: Elecciones Presidenciales y a Gobernador 2023 - Provincia de Santa Cruz, Julio 2023
bajada_encuesta_especial	Encuesta Sincrónica
bajada_encuesta_especial_fecha	18/07/2023
ficha_Población objeto de estudio	Población mayor de 16 años.
ficha_Unidad de muestreo	Télefonos celulares de empresas Personal, Movistar y Claro, complementados con un 13% de teléfonos fijos para optimizar cobertura geográfica.
ficha_Ámbito	Provincia de Santa Cruz
ficha_Técnicas de recolección de información	ES - Encuesta Sincrónica (IVR) a teléfonos móviles y fijos
ficha_Diseño muestral	Muestreo aleatorio estratificado para el interior de la provincia y el departamento Capital. La probabilidad de selección hacia el interior de cada estrato se definió de manera proporcional a su tamaño
ficha_Tamaño muestral	La captura de datos se llevó a cabo del 17/07/2023 al 18/07/2023 abarcando 940 casos efectivos.
ficha_Calibración de la muestra	En función de datos paramétricos censales de sexo, edad y nivel educativo.
ficha_Margen de error	+/- 3.2 %
