"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P10","Unión por la Patria",0.674,0.058,0.135,0.108
"P10","Juntos por el Cambio",0.156,0.251,0.586,0.514
"P10","De los liberales libertarios",0.064,0.564,0.083,0.083
"P10","De la Izquierda",0.038,0.033,0.053,0.07
"P10","Hacemos por nuestro país",0.018,0.022,0.049,0.043
"P10","Otro",0.015,0.031,0.033,0.045
"P10","En blanco",0.008,0.008,0.051,0.018
"P10","No sabe",0.027,0.033,0.01,0.119
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.746,0.06,0.181,0.146
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.137,0.204,0.569,0.48
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.047,0.655,0.071,0.068
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.024,0.016,0.046,0.056
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.03,0.036,0.072,0.099
"P13","En blanco",0.003,0.015,0.041,0.035
"P13","No sabe",0.013,0.014,0.02,0.116
"P26","Totalmente seguro",0.761,0.723,0.711,0.569
"P26","Bastante seguro",0.109,0.136,0.131,0.111
"P26","Algo seguro",0.079,0.096,0.091,0.119
"P26","Para nada seguro",0.051,0.045,0.067,0.201
"P27","Tiene Decidido que va a ir a votar",0.948,0.921,0.87,0.835
"P27","Tiene dudas sobre si va a ir a  votar",0.036,0.056,0.088,0.123
"P27","Tiene Decidido que no va a ir a votar",0.016,0.023,0.042,0.042
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.878,0.104,0.199,0.188
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.077,0.479,0.597,0.489
"P28","En blanco",0.017,0.253,0.137,0.05
"P28","No sabe",0.028,0.164,0.067,0.273
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.37,0.215,0.543,0.46
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.042,0.705,0.111,0.089
"P29","En blanco",0.378,0.047,0.315,0.034
"P29","No sabe",0.21,0.033,0.031,0.417
"P38","Inflación",0.391,0.346,0.3,0.263
"P38","Desempleo",0.128,0.059,0.07,0.11
"P38","Corrupción",0.122,0.43,0.405,0.328
"P38","Inseguridad",0.126,0.095,0.113,0.151
"P38","Precio del dólar",0.053,0.008,0.005,0.019
"P38","Pobreza",0.082,0.027,0.036,0.036
"P38","Narcotráfico",0.016,0.001,0.006,0.015
"P38","Tarifas",0.005,0.005,0.001,0.004
"P38","Otro",0.053,0.022,0.046,0.051
"P38","No sabe",0.024,0.007,0.018,0.023
"P10_imputada","Unión por la Patria",0.689,0.065,0.136,0.143
"P10_imputada","Juntos por el Cambio",0.159,0.26,0.591,0.535
"P10_imputada","De los liberales libertarios",0.068,0.575,0.085,0.116
"P10_imputada","De la Izquierda",0.04,0.033,0.054,0.082
"P10_imputada","Hacemos por nuestro país",0.018,0.025,0.05,0.05
"P10_imputada","Otro",0.018,0.032,0.033,0.051
"P10_imputada","En blanco",0.008,0.01,0.051,0.023
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.75,0.065,0.191,0.182
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.139,0.206,0.572,0.518
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.053,0.661,0.074,0.084
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.025,0.016,0.048,0.057
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.03,0.037,0.071,0.111
"P13_imputada","En blanco",0.003,0.015,0.044,0.048
