"var","categoria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P10","Unión por la Patria",0.242,0.09,0.664,0.478
"P10","Juntos por el Cambio",0.582,0.161,0.094,0.112
"P10","De los liberales libertarios",0.091,0.62,0.068,0.087
"P10","De la Izquierda",0.031,0.03,0.066,0.052
"P10","Hacemos por nuestro país",0.021,0.025,0.032,0.042
"P10","Otro",0.013,0.03,0.025,0.058
"P10","En blanco",0.004,0.011,0.039,0.028
"P10","No sabe",0.016,0.033,0.012,0.143
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.255,0.113,0.741,0.588
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.596,0.103,0.046,0.049
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.078,0.717,0.075,0.069
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.023,0.011,0.041,0.051
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.032,0.035,0.047,0.095
"P13","En blanco",0.003,0.014,0.033,0.027
"P13","No sabe",0.013,0.007,0.017,0.121
"P26","Totalmente seguro",0.726,0.741,0.766,0.571
"P26","Bastante seguro",0.134,0.111,0.107,0.124
"P26","Algo seguro",0.086,0.1,0.081,0.097
"P26","Para nada seguro",0.054,0.048,0.046,0.208
"P27","Tiene Decidido que va a ir a votar",0.932,0.929,0.913,0.838
"P27","Tiene dudas sobre si va a ir a  votar",0.049,0.054,0.051,0.12
"P27","Tiene Decidido que no va a ir a votar",0.019,0.017,0.036,0.042
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.386,0.157,0.789,0.637
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.568,0.415,0.025,0.037
"P28","En blanco",0.023,0.261,0.146,0.025
"P28","No sabe",0.023,0.167,0.04,0.301
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.445,0.065,0.718,0.601
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.203,0.845,0.069,0.073
"P30","En blanco",0.215,0.056,0.197,0.029
"P30","No sabe",0.137,0.034,0.016,0.297
"P38","Inflación",0.334,0.346,0.391,0.332
"P38","Desempleo",0.09,0.067,0.111,0.135
"P38","Corrupción",0.339,0.405,0.141,0.148
"P38","Inseguridad",0.123,0.107,0.102,0.142
"P38","Precio del dólar",0.021,0.015,0.045,0.04
"P38","Pobreza",0.037,0.024,0.091,0.085
"P38","Narcotráfico",0.007,0.002,0.011,0.028
"P38","Tarifas",0.002,0.006,0.005,0.007
"P38","Otro",0.035,0.02,0.079,0.045
"P38","No sabe",0.012,0.008,0.024,0.038
"P10_imputada","Unión por la Patria",0.249,0.098,0.67,0.528
"P10_imputada","Juntos por el Cambio",0.586,0.165,0.098,0.138
"P10_imputada","De los liberales libertarios",0.093,0.633,0.069,0.117
"P10_imputada","De la Izquierda",0.031,0.033,0.066,0.062
"P10_imputada","Hacemos por nuestro país",0.023,0.026,0.033,0.046
"P10_imputada","Otro",0.013,0.032,0.025,0.075
"P10_imputada","En blanco",0.005,0.013,0.039,0.034
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.258,0.114,0.749,0.635
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.602,0.105,0.047,0.073
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.082,0.72,0.079,0.101
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.023,0.011,0.043,0.052
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.032,0.036,0.047,0.104
"P13_imputada","En blanco",0.003,0.014,0.035,0.035
