"var","categoria","Inflación","Desempleo","Corrupción","Inseguridad","Precio del dólar","Pobreza","Narcotráfico","Tarifas","Otro","No sabe"
"P10","Unión por la Patria",0.398,0.416,0.126,0.359,0.587,0.484,0.525,0.482,0.53,0.486
"P10","Juntos por el Cambio",0.247,0.256,0.385,0.313,0.167,0.167,0.168,0.355,0.169,0.127
"P10","De los liberales libertarios",0.238,0.143,0.339,0.193,0.088,0.15,0.1,0.147,0.112,0.098
"P10","De la Izquierda",0.035,0.056,0.032,0.036,0.04,0.068,0.082,0.016,0.069,0.07
"P10","Hacemos por nuestro país",0.027,0.015,0.033,0.03,0.014,0.027,0.021,0,0.031,0.013
"P10","Otro",0.016,0.043,0.034,0.026,0.021,0.036,0,0,0.019,0.019
"P10","En blanco",0.006,0.027,0.014,0.017,0.003,0.021,0,0,0.006,0.084
"P10","No sabe",0.033,0.044,0.037,0.026,0.08,0.047,0.104,0,0.064,0.103
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.454,0.446,0.141,0.411,0.706,0.576,0.576,0.492,0.483,0.534
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.234,0.237,0.367,0.277,0.112,0.111,0.239,0.18,0.187,0.154
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.226,0.187,0.372,0.229,0.044,0.157,0.023,0.122,0.104,0.148
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.024,0.027,0.029,0.009,0.011,0.063,0.025,0.021,0.096,0.03
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.037,0.037,0.055,0.038,0.1,0.027,0.064,0.185,0.042,0.039
"P13","En blanco",0.011,0.031,0.013,0.007,0.014,0.028,0.022,0,0.022,0.038
"P13","No sabe",0.014,0.035,0.023,0.029,0.013,0.038,0.051,0,0.066,0.057
"P26","Totalmente seguro",0.764,0.621,0.715,0.693,0.753,0.697,0.813,0.705,0.804,0.557
"P26","Bastante seguro",0.109,0.143,0.124,0.121,0.063,0.128,0.039,0.084,0.08,0.116
"P26","Algo seguro",0.084,0.109,0.094,0.12,0.111,0.104,0.053,0.026,0.066,0.076
"P26","Para nada seguro",0.043,0.127,0.067,0.066,0.073,0.071,0.095,0.185,0.05,0.251
"P27","Tiene Decidido que va a ir a votar",0.934,0.906,0.931,0.893,0.955,0.968,0.817,0.976,0.925,0.831
"P27","Tiene dudas sobre si va a ir a  votar",0.043,0.078,0.045,0.079,0.04,0.022,0.158,0.024,0.06,0.135
"P27","Tiene Decidido que no va a ir a votar",0.023,0.016,0.024,0.028,0.005,0.01,0.025,0,0.015,0.034
