"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.38,0.348,0.409,0.348,0.413,0.396,0.334,0.402,0.38,0.351,0.688,0.103,0.341,0.298,0.382,0.418,0.442,0.766,0.648,0.06,0.222,0.09
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.256,0.23,0.279,0.162,0.196,0.343,0.448,0.238,0.227,0.323,0.088,0.516,0.239,0.284,0.207,0.207,0.265,0.105,0.134,0.835,0.53,0.048
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.264,0.328,0.207,0.371,0.287,0.183,0.133,0.253,0.291,0.239,0.154,0.324,0.285,0.276,0.314,0.296,0.224,0.085,0.101,0.077,0.135,0.811
"Los candidatos a presidente y vicepresidente de la izquierda",0.029,0.03,0.029,0.036,0.033,0.018,0.023,0.027,0.031,0.029,0.02,0.01,0.031,0.031,0.023,0.029,0.031,0.018,0.049,0.015,0.015,0.01
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.048,0.043,0.052,0.057,0.054,0.037,0.033,0.044,0.052,0.047,0.033,0.035,0.083,0.082,0.048,0.03,0.022,0.018,0.055,0.007,0.076,0.034
"En blanco",0.023,0.021,0.024,0.026,0.017,0.023,0.029,0.036,0.019,0.011,0.017,0.012,0.021,0.029,0.026,0.02,0.016,0.008,0.013,0.006,0.022,0.007
