"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Tiene Decidido que va a ir a votar",0.907,0.907,0.907,0.879,0.921,0.943,0.871,0.878,0.902,0.951,0.929,0.938,0.851,0.897,0.893,0.92,0.92,0.907,0.886,0.944,0.915,0.893
"Tiene dudas sobre si va a ir a  votar",0.067,0.067,0.066,0.094,0.057,0.04,0.078,0.088,0.071,0.032,0.056,0.041,0.11,0.069,0.079,0.048,0.061,0.067,0.054,0.041,0.077,0.093
"Tiene Decidido que no va a ir a votar",0.026,0.026,0.027,0.027,0.022,0.017,0.051,0.034,0.027,0.017,0.015,0.021,0.039,0.034,0.028,0.032,0.019,0.026,0.06,0.015,0.008,0.014
