"var","categoria","Inflación","Desempleo","Corrupción","Inseguridad","Precio del dólar","Pobreza","Narcotráfico","Tarifas","Otro","No sabe"
"P10","Unión por la Patria",0.386,0.485,0.166,0.327,0.684,0.507,0.472,0.243,0.597,0.482
"P10","Juntos por el Cambio",0.248,0.14,0.364,0.332,0.099,0.193,0.119,0.278,0.203,0.041
"P10","De los liberales libertarios",0.223,0.173,0.314,0.179,0.092,0.134,0.347,0.12,0.102,0.311
"P10","De la Izquierda",0.048,0.08,0.053,0.065,0,0.027,0,0,0.026,0.084
"P10","Hacemos por nuestro país",0.039,0.031,0.027,0.027,0.029,0,0,0,0.027,0.046
"P10","Otro",0.011,0.026,0.035,0.022,0,0.063,0.038,0,0.02,0.019
"P10","En blanco",0.009,0.038,0.016,0.013,0.089,0.065,0.024,0,0,0
"P10","No sabe",0.036,0.027,0.025,0.035,0.007,0.011,0,0.359,0.025,0.017
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.445,0.547,0.19,0.399,0.865,0.626,0.458,0.629,0.54,0.671
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.217,0.22,0.354,0.308,0.024,0.178,0.419,0.21,0.147,0.092
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.244,0.146,0.356,0.147,0.057,0.137,0.099,0.161,0.151,0.19
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.028,0.021,0.03,0.034,0.026,0.018,0,0,0.087,0.011
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.044,0.031,0.048,0.049,0,0.024,0,0,0.041,0.019
"P13","En blanco",0.011,0.018,0.009,0.024,0.028,0.012,0,0,0.01,0
"P13","No sabe",0.011,0.017,0.013,0.039,0,0.005,0.024,0,0.024,0.017
"P26","Totalmente seguro",0.779,0.609,0.728,0.646,0.847,0.73,0.931,0.616,0.796,0.48
"P26","Bastante seguro",0.103,0.208,0.104,0.134,0.148,0.133,0.069,0,0.076,0.191
"P26","Algo seguro",0.078,0.103,0.093,0.134,0.005,0.082,0,0.384,0.079,0.138
"P26","Para nada seguro",0.04,0.08,0.075,0.086,0,0.055,0,0,0.049,0.191
"P27","Tiene Decidido que va a ir a votar",0.946,0.893,0.921,0.89,0.815,0.887,0.71,1,0.96,0.938
"P27","Tiene dudas sobre si va a ir a  votar",0.027,0.083,0.048,0.079,0.113,0.069,0.29,0,0.015,0
"P27","Tiene Decidido que no va a ir a votar",0.027,0.024,0.031,0.031,0.072,0.044,0,0,0.025,0.062
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.56,0.723,0.297,0.601,0.778,0.722,0.51,0.629,0.598,0.64
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.257,0.125,0.451,0.258,0.19,0.169,0.137,0.21,0.202,0.104
"P28","En blanco",0.111,0.068,0.147,0.066,0.032,0.068,0.038,0,0.064,0.009
"P28","No sabe",0.072,0.084,0.105,0.075,0,0.041,0.315,0.161,0.136,0.247
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.342,0.329,0.389,0.362,0.263,0.268,0.152,0.267,0.309,0.326
