"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Los candidatos a presidente y vicepresidente de la izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","En blanco","No sabe"
"P10","Unión por la Patria",0.655,0.104,0.093,0.083,0.093,0.048,0.086
"P10","Juntos por el Cambio",0.151,0.704,0.107,0.131,0.099,0.081,0.056
"P10","De los liberales libertarios",0.07,0.127,0.638,0.166,0.121,0.029,0.114
"P10","De la Izquierda",0.044,0.02,0.056,0.49,0.09,0,0.097
"P10","Hacemos por nuestro país",0.006,0.006,0.019,0.015,0.423,0.042,0
"P10","Otro",0.017,0.011,0.042,0.027,0.057,0.474,0.042
"P10","En blanco",0.016,0.005,0.014,0.086,0.039,0.175,0.167
"P10","No sabe",0.041,0.023,0.031,0.002,0.078,0.151,0.438
"P26","Totalmente seguro",0.74,0.725,0.778,0.516,0.61,0.167,0.213
"P26","Bastante seguro",0.145,0.127,0.094,0.138,0.126,0.265,0.098
"P26","Algo seguro",0.083,0.106,0.082,0.103,0.14,0.169,0.123
"P26","Para nada seguro",0.032,0.042,0.046,0.243,0.124,0.399,0.566
"P27","Tiene Decidido que va a ir a votar",0.943,0.916,0.928,0.815,0.806,0.495,0.547
"P27","Tiene dudas sobre si va a ir a  votar",0.034,0.061,0.051,0.092,0.078,0.315,0.248
"P27","Tiene Decidido que no va a ir a votar",0.023,0.023,0.021,0.093,0.116,0.19,0.205
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.929,0.216,0.211,0.415,0.248,0.145,0.247
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.044,0.741,0.281,0.161,0.223,0.263,0.171
"P28","En blanco",0.008,0.029,0.295,0.178,0.262,0.333,0.05
"P28","No sabe",0.019,0.014,0.213,0.246,0.267,0.259,0.532
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.258,0.812,0.088,0.174,0.165,0.037,0.132
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.071,0.124,0.795,0.146,0.161,0.122,0.148
"P29","En blanco",0.438,0.034,0.072,0.3,0.357,0.394,0.121
"P29","No sabe",0.233,0.03,0.045,0.38,0.317,0.447,0.599
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.805,0.256,0.077,0.351,0.184,0.145,0.235
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.047,0.271,0.851,0.076,0.221,0.345,0.246
"P30","En blanco",0.098,0.281,0.038,0.26,0.313,0.36,0.147
"P30","No sabe",0.05,0.192,0.034,0.313,0.282,0.15,0.372
"P38","Inflación",0.407,0.3,0.361,0.35,0.385,0.319,0.271
"P38","Desempleo",0.125,0.076,0.054,0.066,0.067,0.126,0.103
"P38","Corrupción",0.149,0.42,0.451,0.32,0.356,0.222,0.258
"P38","Inseguridad",0.112,0.131,0.067,0.129,0.13,0.215,0.284
"P38","Precio del dólar",0.051,0.002,0.006,0.021,0,0.051,0
"P38","Pobreza",0.083,0.035,0.029,0.031,0.03,0.048,0.018
"P38","Narcotráfico",0.009,0.013,0.003,0,0,0,0.012
"P38","Tarifas",0.008,0.004,0.003,0,0,0,0
"P38","Otro",0.035,0.015,0.016,0.078,0.026,0.019,0.04
"P38","No sabe",0.021,0.004,0.01,0.005,0.006,0,0.014
