"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P10","Unión por la Patria",0.587,0.054,0.081,0.07
"P10","Juntos por el Cambio",0.15,0.614,0.074,0.059
"P10","De los liberales libertarios",0.108,0.241,0.591,0.479
"P10","De la Izquierda",0.064,0.021,0.095,0.061
"P10","Hacemos por nuestro país",0.019,0.013,0.071,0.072
"P10","Otro",0.019,0.034,0.036,0.078
"P10","En blanco",0.016,0.01,0.037,0.05
"P10","No sabe",0.037,0.013,0.015,0.131
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.725,0.058,0.029,0.075
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.106,0.623,0.065,0.035
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.107,0.244,0.697,0.544
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.024,0.015,0.047,0.07
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.023,0.035,0.11,0.122
"P13","En blanco",0.004,0.012,0.042,0.035
"P13","No sabe",0.011,0.013,0.01,0.119
"P26","Totalmente seguro",0.715,0.75,0.779,0.609
"P26","Bastante seguro",0.147,0.121,0.049,0.106
"P26","Algo seguro",0.092,0.081,0.116,0.098
"P26","Para nada seguro",0.046,0.048,0.056,0.187
"P27","Tiene Decidido que va a ir a votar",0.955,0.895,0.856,0.818
"P27","Tiene dudas sobre si va a ir a  votar",0.028,0.076,0.052,0.121
"P27","Tiene Decidido que no va a ir a votar",0.017,0.029,0.092,0.061
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.309,0.601,0.042,0.062
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.119,0.348,0.601,0.499
"P29","En blanco",0.363,0.027,0.324,0.051
"P29","No sabe",0.209,0.024,0.033,0.388
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.748,0.106,0.025,0.107
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.106,0.456,0.733,0.598
"P30","En blanco",0.088,0.267,0.179,0.062
"P30","No sabe",0.058,0.171,0.063,0.233
"P38","Inflación",0.395,0.316,0.379,0.301
"P38","Desempleo",0.127,0.038,0.059,0.087
"P38","Corrupción",0.179,0.474,0.432,0.376
"P38","Inseguridad",0.13,0.097,0.069,0.096
"P38","Precio del dólar",0.035,0.015,0.007,0
"P38","Pobreza",0.074,0.03,0.034,0.024
"P38","Narcotráfico",0.008,0.004,0.003,0.029
"P38","Tarifas",0.006,0.004,0,0.01
"P38","Otro",0.03,0.018,0.016,0.041
"P38","No sabe",0.016,0.004,0.001,0.036
"P10_imputada","Unión por la Patria",0.602,0.056,0.081,0.109
"P10_imputada","Juntos por el Cambio",0.158,0.623,0.08,0.071
"P10_imputada","De los liberales libertarios",0.116,0.242,0.597,0.515
"P10_imputada","De la Izquierda",0.065,0.021,0.094,0.07
"P10_imputada","Hacemos por nuestro país",0.02,0.013,0.075,0.085
"P10_imputada","Otro",0.023,0.034,0.036,0.078
"P10_imputada","En blanco",0.016,0.011,0.037,0.072
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.729,0.065,0.031,0.116
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.107,0.625,0.065,0.063
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.112,0.248,0.705,0.563
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.025,0.015,0.047,0.071
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.023,0.035,0.11,0.143
"P13_imputada","En blanco",0.004,0.012,0.042,0.044
