"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Unión por la Patria",0.305,0.304,0.306,0.277,0.324,0.307,0.305,0.306,0.299,0.312,0.572,0.085,0.302,0.246,0.323,0.275,0.35,0.653,0.472,0.081,0.218,0.071
"Juntos por el Cambio",0.265,0.232,0.295,0.186,0.222,0.336,0.42,0.258,0.236,0.321,0.122,0.505,0.26,0.302,0.225,0.258,0.256,0.206,0.219,0.768,0.488,0.036
"De los liberales libertarios",0.23,0.282,0.183,0.282,0.243,0.225,0.112,0.217,0.237,0.237,0.134,0.297,0.239,0.238,0.232,0.284,0.215,0.089,0.062,0.109,0.126,0.596
"De la Izquierda",0.059,0.062,0.056,0.062,0.076,0.04,0.036,0.076,0.058,0.037,0.042,0.026,0.11,0.033,0.079,0.03,0.075,0.011,0.18,0,0.047,0.033
"Hacemos por nuestro país",0.033,0.034,0.032,0.036,0.037,0.03,0.023,0.035,0.034,0.029,0.025,0.028,0.036,0.065,0.02,0.002,0.018,0.01,0,0.01,0.038,0.148
"Otro",0.034,0.03,0.037,0.051,0.031,0.014,0.033,0.039,0.039,0.017,0.031,0.029,0.027,0.036,0.041,0.044,0.026,0.024,0,0,0.045,0.032
"En blanco",0.024,0.02,0.028,0.045,0.014,0.013,0.028,0.023,0.029,0.019,0.022,0.003,0.005,0.034,0.018,0.034,0.017,0,0.067,0.018,0.025,0.005
"No sabe",0.05,0.036,0.063,0.061,0.053,0.035,0.043,0.046,0.068,0.028,0.052,0.027,0.021,0.046,0.062,0.073,0.043,0.007,0,0.014,0.013,0.079
