"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P10","Unión por la Patria",0.63,0.082,0.161,0.158
"P10","Juntos por el Cambio",0.166,0.224,0.533,0.469
"P10","De los liberales libertarios",0.079,0.57,0.055,0.069
"P10","De la Izquierda",0.043,0.035,0.108,0.104
"P10","Hacemos por nuestro país",0.015,0.028,0.05,0.062
"P10","Otro",0.015,0.029,0.014,0.063
"P10","En blanco",0.022,0.013,0.045,0.017
"P10","No sabe",0.03,0.019,0.034,0.058
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.741,0.056,0.258,0.179
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.153,0.211,0.48,0.449
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.046,0.668,0.064,0.081
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.025,0.007,0.053,0.088
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.021,0.032,0.099,0.123
"P13","En blanco",0.004,0.012,0.027,0.015
"P13","No sabe",0.01,0.014,0.019,0.065
"P26","Totalmente seguro",0.749,0.767,0.698,0.558
"P26","Bastante seguro",0.135,0.106,0.15,0.117
"P26","Algo seguro",0.079,0.084,0.119,0.111
"P26","Para nada seguro",0.037,0.043,0.033,0.214
"P27","Tiene Decidido que va a ir a votar",0.936,0.91,0.905,0.838
"P27","Tiene dudas sobre si va a ir a  votar",0.037,0.06,0.059,0.108
"P27","Tiene Decidido que no va a ir a votar",0.027,0.03,0.036,0.054
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.897,0.166,0.301,0.271
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.073,0.411,0.526,0.461
"P28","En blanco",0.006,0.249,0.133,0.064
"P28","No sabe",0.024,0.174,0.04,0.204
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.401,0.192,0.467,0.412
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.049,0.714,0.093,0.095
"P29","En blanco",0.359,0.068,0.398,0.024
"P29","No sabe",0.191,0.026,0.042,0.469
"P38","Inflación",0.386,0.349,0.374,0.285
"P38","Desempleo",0.134,0.049,0.056,0.085
"P38","Corrupción",0.164,0.461,0.407,0.316
"P38","Inseguridad",0.117,0.073,0.111,0.198
"P38","Precio del dólar",0.045,0.005,0.014,0.002
"P38","Pobreza",0.08,0.037,0.023,0.027
"P38","Narcotráfico",0.014,0.004,0.003,0
"P38","Tarifas",0.008,0.002,0,0.012
"P38","Otro",0.036,0.013,0.01,0.044
"P38","No sabe",0.016,0.007,0.002,0.031
"P10_imputada","Unión por la Patria",0.641,0.088,0.164,0.173
"P10_imputada","Juntos por el Cambio",0.177,0.225,0.553,0.481
"P10_imputada","De los liberales libertarios",0.084,0.58,0.057,0.074
"P10_imputada","De la Izquierda",0.044,0.035,0.108,0.113
"P10_imputada","Hacemos por nuestro país",0.015,0.03,0.059,0.063
"P10_imputada","Otro",0.017,0.029,0.014,0.073
"P10_imputada","En blanco",0.022,0.013,0.045,0.023
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.748,0.056,0.277,0.197
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.154,0.214,0.48,0.463
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.048,0.674,0.064,0.1
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.025,0.007,0.053,0.088
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.021,0.037,0.099,0.128
"P13_imputada","En blanco",0.004,0.012,0.027,0.024
