"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P10","Unión por la Patria",0.328,0.2,0.238
"P10","Juntos por el Cambio",0.272,0.212,0.199
"P10","De los liberales libertarios",0.245,0.174,0.085
"P10","De la Izquierda",0.051,0.053,0.134
"P10","Hacemos por nuestro país",0.028,0.029,0.076
"P10","Otro",0.027,0.084,0.069
"P10","En blanco",0.012,0.149,0.102
"P10","No sabe",0.037,0.099,0.097
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.398,0.22,0.245
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.248,0.255,0.158
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.263,0.226,0.149
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.026,0.045,0.074
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.041,0.06,0.146
"P13","En blanco",0.009,0.088,0.086
"P13","No sabe",0.015,0.106,0.142
"P26","Totalmente seguro",0.76,0.283,0.252
"P26","Bastante seguro",0.112,0.33,0.131
"P26","Algo seguro",0.081,0.062,0.506
"P26","Para nada seguro",0.047,0.325,0.111
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.522,0.26,0.26
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.288,0.414,0.255
"P28","En blanco",0.101,0.103,0.301
"P28","No sabe",0.089,0.223,0.184
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.353,0.29,0.172
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.283,0.217,0.191
"P29","En blanco",0.229,0.184,0.289
"P29","No sabe",0.135,0.309,0.348
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.433,0.284,0.352
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.322,0.35,0.299
"P30","En blanco",0.146,0.157,0.166
"P30","No sabe",0.099,0.209,0.183
"P38","Inflación",0.372,0.199,0.322
"P38","Desempleo",0.088,0.149,0.072
"P38","Corrupción",0.31,0.299,0.314
"P38","Inseguridad",0.107,0.175,0.113
"P38","Precio del dólar",0.021,0.053,0.055
"P38","Pobreza",0.05,0.072,0.076
"P38","Narcotráfico",0.006,0.045,0
"P38","Tarifas",0.006,0,0
"P38","Otro",0.027,0.008,0.022
"P38","No sabe",0.013,0,0.026
"P10_imputada","Unión por la Patria",0.342,0.22,0.238
"P10_imputada","Juntos por el Cambio",0.281,0.238,0.246
"P10_imputada","De los liberales libertarios",0.254,0.203,0.085
"P10_imputada","De la Izquierda",0.053,0.057,0.136
"P10_imputada","Hacemos por nuestro país",0.03,0.029,0.076
"P10_imputada","Otro",0.028,0.098,0.069
"P10_imputada","En blanco",0.012,0.155,0.15
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.401,0.278,0.342
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.252,0.259,0.165
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.268,0.257,0.187
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.027,0.045,0.074
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.043,0.06,0.146
"P13_imputada","En blanco",0.009,0.101,0.086
