"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P10","Unión por la Patria",0.635,0.046,0.075,0.087
"P10","Juntos por el Cambio",0.21,0.373,0.734,0.618
"P10","De los liberales libertarios",0.078,0.475,0.061,0.068
"P10","De la Izquierda",0.039,0.018,0.047,0.045
"P10","Hacemos por nuestro país",0.008,0.05,0.021,0.027
"P10","Otro",0.009,0.011,0.025,0.04
"P10","En blanco",0.001,0.003,0.011,0.021
"P10","No sabe",0.02,0.024,0.026,0.094
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.631,0.046,0.11,0.112
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.224,0.327,0.712,0.613
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.042,0.544,0.046,0.063
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.061,0.019,0.039,0.021
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.011,0.052,0.054,0.048
"P13","En blanco",0.011,0.002,0.019,0.027
"P13","No sabe",0.02,0.01,0.02,0.116
"P16","Union por la Patria",0.645,0.052,0.082,0.07
"P16","Cambiemos",0.184,0.495,0.693,0.668
"P16","Liberales",0.064,0.348,0.121,0.072
"P16","Izquierda",0.057,0.017,0.045,0.009
"P16","No sabe",0.05,0.088,0.059,0.181
"P17","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.553,0.061,0.12,0.167
"P17","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.231,0.463,0.653,0.591
"P17","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.097,0.361,0.085,0.103
"P17","La candidata a Jefe de Gobierno de la izquierda",0.057,0.017,0.045,0.028
"P17","En blanco",0.014,0.052,0.055,0.045
"P17","No sabe",0.048,0.046,0.042,0.066
"P26","Totalmente seguro",0.695,0.717,0.746,0.629
"P26","Bastante seguro",0.121,0.168,0.122,0.141
"P26","Algo seguro",0.134,0.09,0.098,0.108
"P26","Para nada seguro",0.05,0.025,0.034,0.122
"P27","Tiene Decidido que va a ir a votar",0.953,0.915,0.906,0.881
"P27","Tiene dudas sobre si va a ir a  votar",0.038,0.059,0.076,0.103
"P27","Tiene Decidido que no va a ir a votar",0.009,0.026,0.018,0.016
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.811,0.061,0.107,0.122
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.147,0.581,0.757,0.667
"P28","En blanco",0.012,0.215,0.086,0.046
"P28","No sabe",0.03,0.143,0.05,0.165
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.51,0.337,0.678,0.586
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.034,0.609,0.138,0.162
"P29","En blanco",0.306,0.038,0.165,0.018
"P29","No sabe",0.15,0.016,0.019,0.234
"P38","Inflación",0.411,0.415,0.341,0.237
"P38","Desempleo",0.118,0.063,0.022,0.057
"P38","Corrupción",0.102,0.374,0.416,0.364
"P38","Inseguridad",0.124,0.085,0.102,0.154
"P38","Precio del dólar",0.028,0,0.011,0
"P38","Pobreza",0.11,0.014,0.034,0.058
"P38","Narcotráfico",0.001,0.009,0,0.019
"P38","Tarifas",0.007,0,0.007,0.011
"P38","Otro",0.074,0.028,0.061,0.081
"P38","No sabe",0.025,0.012,0.006,0.019
"P10_imputada","Unión por la Patria",0.638,0.05,0.076,0.127
"P10_imputada","Juntos por el Cambio",0.214,0.373,0.747,0.647
"P10_imputada","De los liberales libertarios",0.088,0.488,0.073,0.085
"P10_imputada","De la Izquierda",0.04,0.024,0.047,0.053
"P10_imputada","Hacemos por nuestro país",0.008,0.051,0.021,0.027
"P10_imputada","Otro",0.011,0.011,0.025,0.04
"P10_imputada","En blanco",0.001,0.003,0.011,0.021
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.637,0.047,0.116,0.162
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.228,0.33,0.722,0.651
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.052,0.55,0.05,0.085
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.061,0.019,0.039,0.021
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.011,0.052,0.054,0.048
"P13_imputada","En blanco",0.011,0.002,0.019,0.033
"P16_imputada","Union por la Patria",0.668,0.079,0.1,0.138
"P16_imputada","Cambiemos",0.192,0.521,0.728,0.739
"P16_imputada","Liberales",0.073,0.373,0.127,0.114
"P16_imputada","Izquierda",0.067,0.027,0.045,0.009
"P17_imputada","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.574,0.069,0.12,0.199
"P17_imputada","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.236,0.478,0.665,0.614
"P17_imputada","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.111,0.381,0.105,0.102
"P17_imputada","Los candidatos a Jefe de Gobierno de la izquierda",0.057,0.017,0.044,0.028
"P17_imputada","En blanco",0.022,0.055,0.066,0.057
