"var","categoria","Union por la Patria","Cambiemos","Liberales","Izquierda"
"P26","Totalmente seguro",0.675,0.702,0.692,0.562
"P26","Bastante seguro",0.109,0.165,0.152,0.131
"P26","Algo seguro",0.128,0.089,0.12,0.161
"P26","Para nada seguro",0.088,0.044,0.036,0.146
"P27","Tiene Decidido que va a ir a votar",0.911,0.922,0.888,0.873
"P27","Tiene dudas sobre si va a ir a  votar",0.056,0.063,0.107,0.054
"P27","Tiene Decidido que no va a ir a votar",0.033,0.015,0.005,0.073
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.759,0.123,0.204,0.464
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.121,0.791,0.292,0.179
"P28","En blanco",0.043,0.035,0.318,0.138
"P28","No sabe",0.077,0.051,0.186,0.219
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.357,0.724,0.195,0.322
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.099,0.203,0.635,0.16
"P29","En blanco",0.352,0.041,0.091,0.391
"P29","No sabe",0.192,0.032,0.079,0.127
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.8,0.15,0.148,0.565
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.079,0.341,0.632,0.19
"P30","En blanco",0.07,0.33,0.149,0.222
"P30","No sabe",0.051,0.179,0.071,0.023
"P38","Inflación",0.401,0.374,0.412,0.2
"P38","Desempleo",0.104,0.052,0.072,0.132
"P38","Corrupción",0.096,0.37,0.345,0.294
"P38","Inseguridad",0.131,0.106,0.093,0.072
"P38","Precio del dólar",0.027,0.009,0,0
"P38","Pobreza",0.102,0.029,0.041,0.167
"P38","Narcotráfico",0.002,0.006,0.009,0
"P38","Tarifas",0.005,0.007,0,0
"P38","Otro",0.096,0.037,0.028,0.135
"P38","No sabe",0.036,0.01,0,0
