"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Los candidatos a presidente y vicepresidente de la izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","En blanco","No sabe"
"P10","Unión por la Patria",0.682,0.074,0.069,0.105,0.077,0.13,0.076
"P10","Juntos por el Cambio",0.191,0.837,0.102,0.149,0.168,0.117,0.03
"P10","De los liberales libertarios",0.067,0.054,0.702,0.061,0.029,0.054,0.13
"P10","De la Izquierda",0.026,0.015,0.032,0.601,0.11,0.133,0
"P10","Hacemos por nuestro país",0.001,0.005,0.041,0.03,0.344,0,0
"P10","Otro",0.007,0.007,0.011,0.049,0.152,0.197,0.011
"P10","En blanco",0.01,0,0.018,0,0.023,0.283,0.17
"P10","No sabe",0.016,0.008,0.025,0.005,0.097,0.086,0.583
"P16","Union por la Patria",0.682,0.101,0.115,0.243,0.113,0.109,0.127
"P16","Cambiemos",0.168,0.813,0.281,0.037,0.303,0.197,0.109
"P16","Liberales",0.074,0.061,0.491,0.015,0.136,0.103,0
"P16","Izquierda",0.029,0.001,0.018,0.603,0.034,0.04,0.055
"P16","No sabe",0.047,0.024,0.095,0.102,0.414,0.551,0.709
"P17","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.672,0.079,0.07,0.329,0.182,0.29,0.264
"P17","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.127,0.819,0.238,0.049,0.292,0.263,0.145
"P17","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.085,0.06,0.57,0.016,0.148,0.059,0.021
"P17","La candidata a Jefe de Gobierno de la izquierda",0.038,0.003,0.014,0.45,0,0,0.039
"P17","En blanco",0.033,0.017,0.044,0.044,0.26,0.364,0.175
"P17","No sabe",0.045,0.022,0.064,0.112,0.118,0.024,0.356
"P26","Totalmente seguro",0.678,0.755,0.724,0.522,0.452,0.408,0.141
"P26","Bastante seguro",0.145,0.134,0.16,0.186,0.148,0.087,0.082
"P26","Algo seguro",0.116,0.083,0.107,0.198,0.302,0.17,0.141
"P26","Para nada seguro",0.061,0.028,0.009,0.094,0.098,0.335,0.636
"P27","Tiene Decidido que va a ir a votar",0.913,0.946,0.914,0.911,0.568,0.705,0.78
"P27","Tiene dudas sobre si va a ir a  votar",0.068,0.044,0.077,0.046,0.234,0.077,0.19
"P27","Tiene Decidido que no va a ir a votar",0.019,0.01,0.009,0.043,0.198,0.218,0.03
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.872,0.111,0.097,0.45,0.138,0.313,0.376
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.095,0.845,0.404,0.04,0.474,0.085,0.101
"P28","En blanco",0.011,0.017,0.311,0.168,0.27,0.447,0.023
"P28","No sabe",0.022,0.027,0.188,0.342,0.118,0.155,0.5
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.357,0.839,0.116,0.328,0.423,0.342,0.155
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.082,0.112,0.836,0.084,0.158,0.196,0.088
"P29","En blanco",0.377,0.031,0.033,0.457,0.222,0.26,0.22
"P29","No sabe",0.184,0.018,0.015,0.131,0.197,0.202,0.537
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.818,0.199,0.074,0.57,0.106,0.334,0.263
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.052,0.254,0.842,0.155,0.441,0.04,0.112
"P30","En blanco",0.084,0.374,0.049,0.214,0.307,0.354,0.151
"P30","No sabe",0.046,0.173,0.035,0.061,0.146,0.272,0.474
"P38","Inflación",0.447,0.349,0.39,0.316,0.405,0.147,0.235
"P38","Desempleo",0.122,0.046,0.079,0.039,0.018,0.168,0.066
"P38","Corrupción",0.071,0.379,0.359,0.228,0.355,0.29,0.281
"P38","Inseguridad",0.109,0.131,0.091,0.123,0.058,0,0.055
"P38","Precio del dólar",0.044,0.001,0,0,0,0.044,0
"P38","Pobreza",0.097,0.026,0.046,0.072,0.031,0.155,0.237
"P38","Narcotráfico",0.002,0.007,0.004,0,0,0,0.029
"P38","Tarifas",0.008,0.006,0,0.007,0,0,0
"P38","Otro",0.08,0.036,0.026,0.215,0.11,0.196,0.072
"P38","No sabe",0.02,0.019,0.005,0,0.023,0,0.025
