"var","categoria","Leandro Santoro a Jefe de Gobierno por Union por la Patria","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza","Los candidatos a Jefe de Gobierno de la izquierda","En blanco"
"P26","Totalmente seguro",0.68,0.741,0.705,0.501,0.291
"P26","Bastante seguro",0.129,0.147,0.172,0.152,0.09
"P26","Algo seguro",0.114,0.09,0.104,0.144,0.266
"P26","Para nada seguro",0.077,0.022,0.019,0.203,0.353
"P27","Tiene Decidido que va a ir a votar",0.919,0.945,0.887,0.891,0.651
"P27","Tiene dudas sobre si va a ir a  votar",0.069,0.039,0.105,0.083,0.177
"P27","Tiene Decidido que no va a ir a votar",0.012,0.016,0.008,0.026,0.172
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.755,0.126,0.232,0.534,0.261
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.123,0.79,0.328,0.176,0.359
"P28","En blanco",0.038,0.036,0.268,0.131,0.231
"P28","No sabe",0.084,0.048,0.172,0.159,0.149
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.331,0.761,0.208,0.409,0.26
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.096,0.172,0.654,0.099,0.313
"P29","En blanco",0.361,0.039,0.088,0.376,0.241
"P29","No sabe",0.212,0.028,0.05,0.116,0.186
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.751,0.194,0.213,0.541,0.175
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.076,0.331,0.61,0.132,0.374
"P30","En blanco",0.092,0.318,0.116,0.245,0.308
"P30","No sabe",0.081,0.157,0.061,0.082,0.143
"P38","Inflación",0.419,0.365,0.415,0.302,0.244
"P38","Desempleo",0.075,0.057,0.093,0.113,0.156
"P38","Corrupción",0.128,0.377,0.27,0.282,0.236
"P38","Inseguridad",0.083,0.118,0.153,0.069,0.043
"P38","Precio del dólar",0.033,0.002,0,0,0.052
"P38","Pobreza",0.113,0.03,0.036,0.19,0.019
"P38","Narcotráfico",0.002,0.007,0.004,0,0.019
"P38","Tarifas",0.007,0.005,0,0.013,0
"P38","Otro",0.103,0.028,0.026,0.031,0.231
"P38","No sabe",0.037,0.011,0.003,0,0
