"var","categoria","Union por la Patria","Cambiemos","Liberales","Izquierda","No sabe"
"P10","Unión por la Patria",0.687,0.059,0.085,0.287,0.096
"P10","Juntos por el Cambio",0.13,0.754,0.147,0.059,0.204
"P10","De los liberales libertarios",0.104,0.122,0.666,0.154,0.125
"P10","De la Izquierda",0.047,0.017,0.047,0.417,0.053
"P10","Hacemos por nuestro país",0.013,0.033,0.014,0.041,0.057
"P10","Otro",0.003,0.01,0.021,0.014,0.073
"P10","En blanco",0.006,0,0,0.007,0.08
"P10","No sabe",0.01,0.005,0.02,0.021,0.312
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.685,0.102,0.124,0.197,0.133
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.146,0.711,0.147,0.008,0.098
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.096,0.143,0.684,0.102,0.227
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.036,0.003,0.004,0.601,0.043
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.016,0.027,0.033,0.033,0.171
"P13","En blanco",0.005,0.006,0.008,0.013,0.076
"P13","No sabe",0.016,0.008,0,0.046,0.252
"P17","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.696,0.07,0.141,0.098,0.166
"P17","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.138,0.815,0.141,0.046,0.052
"P17","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.122,0.074,0.657,0.035,0.045
"P17","La candidata a Jefe de Gobierno de la izquierda",0.009,0.008,0.004,0.666,0.024
"P17","En blanco",0.01,0.015,0.023,0.025,0.365
"P17","No sabe",0.025,0.018,0.034,0.13,0.348
"P26","Totalmente seguro",0.721,0.733,0.733,0.559,0.285
"P26","Bastante seguro",0.109,0.162,0.151,0.152,0.149
"P26","Algo seguro",0.116,0.079,0.113,0.147,0.233
"P26","Para nada seguro",0.054,0.026,0.003,0.142,0.333
"P27","Tiene Decidido que va a ir a votar",0.939,0.942,0.889,0.893,0.704
"P27","Tiene dudas sobre si va a ir a  votar",0.039,0.05,0.106,0.062,0.19
"P27","Tiene Decidido que no va a ir a votar",0.022,0.008,0.005,0.045,0.106
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.807,0.119,0.19,0.472,0.271
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.104,0.819,0.308,0.207,0.247
"P28","En blanco",0.03,0.023,0.338,0.159,0.172
"P28","No sabe",0.059,0.039,0.164,0.162,0.31
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.379,0.742,0.211,0.375,0.199
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.085,0.205,0.656,0.113,0.278
"P29","En blanco",0.35,0.028,0.097,0.456,0.227
"P29","No sabe",0.186,0.025,0.036,0.056,0.296
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.85,0.152,0.143,0.569,0.232
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.058,0.343,0.651,0.142,0.345
"P30","En blanco",0.063,0.333,0.156,0.262,0.161
"P30","No sabe",0.029,0.172,0.05,0.027,0.262
"P38","Inflación",0.401,0.381,0.421,0.244,0.296
"P38","Desempleo",0.102,0.043,0.081,0.068,0.158
"P38","Corrupción",0.095,0.371,0.35,0.329,0.225
"P38","Inseguridad",0.138,0.11,0.105,0.087,0.028
"P38","Precio del dólar",0.022,0.009,0,0,0.03
"P38","Pobreza",0.097,0.028,0.016,0.204,0.125
"P38","Narcotráfico",0.002,0.007,0.005,0,0.01
"P38","Tarifas",0.006,0.007,0,0,0
"P38","Otro",0.1,0.033,0.022,0.068,0.117
"P38","No sabe",0.037,0.011,0,0,0.011
