"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.497,0.477,0.514,0.332,0.441,0.615,0.644,0.46,0.489,0.517,0.305,0.622,0.599,0.364,0.324,0.812,0.686,0.106
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.256,0.309,0.212,0.444,0.247,0.183,0.147,0.256,0.298,0.226,0.123,0.29,0.194,0.072,0.108,0.142,0.183,0.811
"En blanco",0.157,0.145,0.167,0.137,0.212,0.122,0.124,0.168,0.111,0.186,0.373,0.052,0.162,0.359,0.424,0.028,0.08,0.041
"No sabe",0.09,0.069,0.107,0.087,0.1,0.08,0.085,0.116,0.102,0.071,0.199,0.036,0.045,0.205,0.144,0.018,0.051,0.042
