"var","categoria","Unión por la Patria","Juntos por el Cambio","De los liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco"
"P26","Totalmente seguro",0.69,0.715,0.701,0.579,0.507,0.448,0.179
"P26","Bastante seguro",0.121,0.157,0.14,0.122,0.247,0.077,0.07
"P26","Algo seguro",0.124,0.081,0.121,0.165,0.235,0.238,0.185
"P26","Para nada seguro",0.065,0.047,0.038,0.134,0.011,0.237,0.566
"P27","Tiene Decidido que va a ir a votar",0.935,0.91,0.927,0.765,0.92,0.597,0.775
"P27","Tiene dudas sobre si va a ir a  votar",0.043,0.073,0.052,0.164,0.08,0.285,0.095
"P27","Tiene Decidido que no va a ir a votar",0.022,0.017,0.021,0.071,0,0.118,0.13
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.866,0.124,0.137,0.356,0.247,0.203,0.072
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.089,0.811,0.399,0.14,0.295,0.229,0.259
"P28","En blanco",0.011,0.028,0.291,0.294,0.011,0.285,0.35
"P28","No sabe",0.034,0.037,0.173,0.21,0.447,0.283,0.319
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.358,0.8,0.166,0.213,0.34,0.26,0.128
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.072,0.124,0.742,0.189,0.525,0.221,0.123
"P29","En blanco",0.38,0.047,0.051,0.4,0.055,0.187,0.491
"P29","No sabe",0.19,0.029,0.041,0.198,0.08,0.332,0.258
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.832,0.181,0.15,0.378,0.111,0.234,0.067
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.057,0.275,0.731,0.196,0.603,0.206,0.149
"P30","En blanco",0.059,0.372,0.073,0.266,0.167,0.301,0.389
"P30","No sabe",0.052,0.172,0.046,0.16,0.119,0.259,0.395
"P38","Inflación",0.446,0.341,0.393,0.085,0.593,0.355,0.433
"P38","Desempleo",0.105,0.043,0.089,0.111,0,0.193,0.052
"P38","Corrupción",0.096,0.388,0.325,0.248,0.309,0.121,0.406
"P38","Inseguridad",0.105,0.124,0.099,0.158,0.04,0.052,0
"P38","Precio del dólar",0.014,0.005,0.025,0.026,0,0.028,0
"P38","Pobreza",0.108,0.031,0.046,0.132,0,0.033,0
"P38","Narcotráfico",0.002,0.009,0.004,0,0,0,0
"P38","Tarifas",0.009,0.006,0,0,0,0,0
"P38","Otro",0.083,0.043,0.013,0.232,0.058,0.175,0
"P38","No sabe",0.032,0.01,0.006,0.008,0,0.043,0.109
