"var","categoria","Horacio Rodríguez Larreta por Cambiemos","Alberto Fernández por el Frente de Todos","Javier Milei por los liberales","Nicolás del Caño por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.383,0.451,0.472,0.456,0.414
"P04","Realizo changas o trabajos de vez en cuando",0.198,0.174,0.224,0.214,0.193
"P04","No tengo trabajo",0.19,0.151,0.203,0.104,0.172
"P04","Soy jubilado o pensionado",0.229,0.224,0.101,0.226,0.221
"P05","Derecha",0.211,0.139,0.333,0.07,0.148
"P05","Centro derecha",0.249,0.097,0.205,0.054,0.129
"P05","Centro izquierda",0.11,0.311,0.051,0.25,0.224
"P05","Izquierda",0.092,0.147,0.065,0.429,0.096
"P05","No sabe",0.338,0.306,0.346,0.197,0.403
"P06","Muy importante",0.626,0.773,0.471,0.831,0.67
"P06","Algo importante",0.195,0.13,0.185,0.082,0.169
"P06","Nada importante",0.12,0.051,0.295,0.046,0.087
"P06","No sabe",0.059,0.046,0.049,0.041,0.074
"P07","Estoy de acuerdo",0.38,0.617,0.281,0.795,0.396
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.456,0.238,0.454,0.126,0.39
"P07","No estoy de acuerdo",0.131,0.098,0.209,0.079,0.162
"P07","No sabe",0.033,0.047,0.056,0,0.052
"P08","Frente de Todos y el peronismo",0.177,0.781,0.041,0.33,0.327
"P08","Cambiemos",0.643,0.155,0.091,0.04,0.269
"P08","Liberales y Javier Milei",0.098,0.027,0.833,0.057,0.082
"P08","Izquierda",0.014,0.013,0.001,0.462,0.047
"P08","No sabe",0.068,0.024,0.034,0.111,0.275
"P10","Lo votaría",0.342,0.318,0.287,0.079,0.108
"P10","Puede que lo vote",0.355,0.387,0.031,0.452,0.38
"P10","Nunca lo votaría",0.228,0.189,0.682,0.439,0.404
"P10","No sabe",0.075,0.106,0,0.03,0.108
"P11","Lo votaría",0.396,0.558,0.116,0.152,0.027
"P11","Puede que lo vote",0.232,0.359,0.064,0.503,0.298
"P11","Nunca lo votaría",0.239,0.036,0.82,0.326,0.531
"P11","No sabe",0.133,0.047,0,0.019,0.144
"P12","Lo votaría",0.57,0.322,0.141,0.216,0.177
"P12","Puede que lo vote",0.36,0.486,0.388,0.625,0.474
"P12","Nunca lo votaría",0.036,0.114,0.308,0.159,0.246
"P12","No sabe",0.034,0.078,0.163,0,0.103
"P13","Lo votaría",0.265,0.187,0.15,0.338,0.274
"P13","Puede que lo vote",0.384,0.389,0.355,0.151,0.251
"P13","Nunca lo votaría",0.287,0.249,0.384,0.331,0.417
"P13","No sabe",0.064,0.175,0.111,0.18,0.058
"P14","La votaría",0.593,0.418,0.607,0.526,0.605
"P14","Puede que la vote",0.278,0.253,0.162,0.172,0.243
"P14","Nunca la votaría",0.108,0.176,0.202,0.302,0.137
"P14","No sabe",0.021,0.153,0.029,0,0.015
"P15","Lo votaría",0.133,0.295,0.563,0.195,0.063
"P15","Puede que lo vote",0.264,0.23,0.319,0.172,0.249
"P15","Nunca lo votaría",0.569,0.4,0.09,0.482,0.639
"P15","No sabe",0.034,0.075,0.028,0.151,0.049
"P16","Sí, lo votaría",0.534,0.152,0.443,0.05,0.165
"P16","Puede que lo vote",0.166,0.038,0.215,0.012,0.115
"P16","Nunca lo votaría",0.277,0.787,0.287,0.927,0.616
"P16","No sabe",0.023,0.023,0.055,0.011,0.104
"P17","Sí, la votaría",0.114,0.742,0.095,0.397,0.275
"P17","Puede que la vote",0.044,0.125,0.044,0.223,0.094
"P17","Nunca la votaría",0.837,0.123,0.828,0.35,0.56
"P17","No sabe",0.005,0.01,0.033,0.03,0.071
"P18","Cristina Fernández de Kirchner por el Frente de Todos",0.215,0.759,0.022,0.492,0.263
"P18","Mauricio Macri por Cambiemos",0.567,0.16,0.082,0.016,0.13
"P18","Javier Milei por los liberales",0.098,0.006,0.877,0.028,0.022
"P18","Nicolás del Caño por la izquierda",0.01,0.009,0.001,0.426,0.003
"P18","Otro candidato",0.11,0.066,0.018,0.038,0.582
"P20","Mauricio Macri presidente Javier Milei vice",0.561,0.147,0.652,0.05,0.146
"P20","Sergio Massa presidente Gerardo Morales vice",0.092,0.358,0.052,0.032,0.118
"P20","Nicolas del Caño presidente Myriam Bregman vice",0.031,0.056,0.039,0.803,0.057
"P20","No sabe",0.316,0.439,0.257,0.115,0.679
"P21","Mauricio Macri presidente Patricia Bullrich vice",0.557,0.149,0.272,0.025,0.179
"P21","Alberto Fernández presidente Sergio Massa vice",0.079,0.457,0.007,0.082,0.058
"P21","Javier Milei presidente José Luis Espert vice",0.066,0.004,0.636,0.088,0.069
"P21","Horacio Rodríguez Larreta presidente Gerardo Morales vice",0.212,0.045,0.049,0.038,0.16
"P21","Cristina Fernández de Kirchner presidenta Jorge Capitanich vice",0.055,0.329,0.021,0.472,0.23
"P21","Otros candidatos",0.031,0.016,0.015,0.295,0.304
"P22","Muy buena",0.055,0.186,0.03,0.004,0.022
"P22","Buena",0.085,0.423,0.011,0.105,0.086
"P22","Ni buena ni mala",0.076,0.186,0.064,0.271,0.196
"P22","Mala",0.169,0.074,0.149,0.407,0.237
"P22","Muy mala",0.61,0.128,0.746,0.197,0.417
"P22","No sabe",0.005,0.003,0,0.016,0.042
